,2003,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
B-BarrowStAlbionSt,,,,,101.0,,112.0,,,,165.0
B-EwingStBrunswickRd,,,,,209.0,,293.0,,,287.0,
B-FraserStAlbionSt,,,,,,68.0,,84.0,,,114.0
B-GranthamDawsonSt,,,,,,,185.0,,187.0,180.0,
B-GrayBrunswick,,,,,44.0,,62.0,,,,
B-SydneyRdAlbionSt,,,,,,223.0,,216.0,,233.0,
B-SydneyRdBlythSt,,,,,224.0,,231.0,,,,208.0
B-SydneyRdBrunswickRd,,,,,463.0,,,689.0,,,549.0
B-SydneyRdGlenlyonRd,,0.0,,458.0,,281.0,,,,459.0,
B-SydneyRdParkSt,491.0,,740.0,,766.0,,747.0,,1063.0,,
B-SydneyRdVictoriaSt,,,,,,336.0,,361.0,,,300.0
B-UpfieldAlbionSt,,,,405.0,,487.0,,,,668.0,
B-UpfieldBrunswickRd,,,,689.0,,,,1074.0,,,1187.0
B-UpfieldDawsonSt,,,,,,775.0,,1074.0,,,651.0
B-UpfieldParkSt,,,681.0,,807.0,,681.0,,1134.0,,
B-UpfieldVictoriaSt,,,,,,623.0,,832.0,,,985.0
BE-BellvueStBlythSt,,,,,,,176.0,,185.0,,
BE-CanningBrunswick,,,,,,,,,,,209.0
BE-JohnStGlenlyonRd,,,,205.0,,,319.0,,,382.0,
BE-LygonStBlythSt,,,,,,,196.0,,210.0,,
BE-LygonStBrunswickRd,,,,276.0,276.0,,,,309.0,,
BE-LygonStGlenlyonRd,,,,269.0,,235.0,,,,322.0,
BE-MerriCrkBlythSt,,,,,,,,342.0,,429.0,
BE-MerriCrkSumner,,,,,,,,203.0,,253.0,
BE-NicholsonStBlythSt,,,,,169.0,,176.0,,,,113.0
BE-NicholsonStBrunswickRd,,,,166.0,,165.0,,,,124.0,
BE-NicholsonStGlenlyonRd,,,,,,162.0,,197.0,,,173.0
BE-TruscottBrunswickRd,,,,255.0,301.0,,,,389.0,,322.0
BW-55TramParkSt,,,,,,,245.0,300.0,,,287.0
BW-CityLinkBrunswickRd,,,,,,60.0,,64.0,,,87.0
BW-CityLinkDawsonSt,,0.0,,10.0,,,,,47.0,,
BW-CityLinkVictoriaSt,,,,,,,,42.0,,,
BW-DalyStDawsonSt,,,,119.0,,70.0,,,,133.0,
BW-FlemingStParkSt,,,,,,,126.0,,136.0,,
BW-GranthamStBrunswickRd,,,,120.0,,139.0,,,,,195.0
BW-HopetounAvAlbionSt,,,,,33.0,,63.0,,,75.0,
BW-JolleyStAlbionSt,,,,,59.0,,,,98.0,,
BW-MelvilleDawsonSt,,,,57.0,,57.0,,,,78.0,
BW-MelvilleRdVictoriaSt,,,,75.0,55.0,,86.0,,,,103.0
BW-PearsonStVictoriaSt,,,,,112.0,,153.0,,,181.0,
C-BarrowStHardingSt,,,,39.0,,,48.0,,,,91.0
C-BarrowStMorelandRd,,,,77.0,,122.0,,,,138.0,
C-BarrowStRennieSt,,,,,,,,78.0,,,97.0
C-BourkeStOHeaSt,,,,,,47.0,,88.0,,106.0,
C-DeCarleStMorelandRd,,,,,38.0,,67.0,,,89.0,
C-HaigAvMorelandRd,,,,,69.0,80.0,,,,97.0,
C-MerriCrkDeCheneBridge,,,,,60.0,,,,,,117.0
C-MerriCrkHardingSt,,,,,,85.0,,,147.0,,161.0
C-MerriCrkMorelandRd,,,,,,,,227.0,,275.0,
C-NicholsonStHardingSt,,,,,53.0,,91.0,,,,91.0
C-NicholsonStMorelandRd,,,,109.0,,118.0,,,,147.0,
C-ShaftsburyStMunroSt,,,,,25.0,27.0,,,,32.0,
C-SydneyRdMorelandRd,,,122.0,,138.0,,150.0,,156.0,,
C-SydneyRdMunroSt,,,67.0,,92.0,,85.0,,79.0,,
C-SydneyRdOHeaSt,,,,,,,,99.0,,82.0,
C-UpfieldMorelandRd,,,243.0,,327.0,,306.0,,406.0,,
C-UpfieldMunroSt,,,,,156.0,213.0,155.0,,238.0,,
C-UpfieldOHeaSt,,,,125.0,,123.0,247.0,,,,241.0
CN-ElizabethStBoyneSt,,,,,,,47.0,,42.0,,
CN-NewlandsRdCarrSt,,,,,,,15.0,,11.0,,
CN-SussexStBoundaryRd,,,,16.0,,,19.0,,,,15.0
CN-SydneyRdBakersRd,,,,,12.0,,19.0,,15.0,,
CN-UpfieldBakersRd,,,,,60.0,,16.0,,25.0,,
CN-UpfieldBoundaryRd,,,,40.0,24.0,,,,51.0,,
CN-UpfieldGaffneySt,,,,118.0,,115.0,,,,170.0,
F-McBrydeStVictorySt,,,,,5.0,,,,12.0,,
F-MerriCrkQueensPde,,,,,2.0,,,,2.0,,
F-UpfieldBoxForestRd,,,,24.0,17.0,,,,28.0,,
F-WilliamStAndersonRd,,,,,2.0,,,,12.0,7.0,
F-WyunaStYungeraSt,,,,,,,13.0,,9.0,,
FN-KingStGlenlyon,,,,,,,167.0,,,,
G-HarringtonStWestRingRdTrail,,,,,,,16.0,,22.0,,
G-LoganStGlenroyRd,,,,,7.0,8.0,,,,18.0,
G-PascoeValeRdGlenroyRd,,,,19.0,,11.0,,,15.0,,
G-WidfordStWestRingRdTrail,,,,,,,,22.0,,,26.0
Gow-MooneePondsCrkTrestleBridge,,,,,,,,44.0,,,
Gow-MooneePondsCrkWestRingRd,,,,,,,,35.0,,,
Gow-WestRingRdTrailGowanbraeDr,,,,,,,,17.0,,,
H-HiltonStWestSt,,,,,8.0,,,,,2.0,
MerriCrkTrailWestRingRdTrail,,,,,,,,38.0,,,
OP-PascoeValeRdWinifredSt,,,,,13.0,9.0,,,22.0,,
OP-StationRdMeakerAv,,,,,,,8.0,,5.0,,14.0
OP-WaterlooStSnellGv,,,,,,,9.0,,10.0,,
PV-BurgandyStGaffneySt,,,,44.0,39.0,,,,57.0,,
PV-CumberlandRdEssexSt,,,,18.0,15.0,,,,23.0,,
