,2003,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
B-BarrowStAlbionSt,,,,,46.53,,45.54,,,,49.7
B-EwingStBrunswickRd,,,,,33.97,,48.46,,,41.11,
B-FraserStAlbionSt,,,,,,54.41,,30.95,,,35.96
B-GranthamDawsonSt,,,,,,,27.03,,38.5,35.0,
B-GrayBrunswick,,,,,29.55,,50.0,,,,
B-SydneyRdAlbionSt,,,,,,33.18,,26.85,,32.19,
B-SydneyRdBlythSt,,,,,31.7,,30.74,,,,36.54
B-SydneyRdBrunswickRd,,,,,31.53,,,35.7,,,36.07
B-SydneyRdGlenlyonRd,,NaN,,NaN,,NaN,,,,34.42,
B-SydneyRdParkSt,33.6,,26.08,,33.16,,26.51,,59.45,,
B-SydneyRdVictoriaSt,,,,,,32.44,,32.96,,,34.33
B-UpfieldAlbionSt,,,,37.53,,39.84,,,,39.52,
B-UpfieldBrunswickRd,,,,35.7,,,,43.58,,,43.3
B-UpfieldDawsonSt,,,,,,40.13,,44.51,,,NaN
B-UpfieldParkSt,,,40.68,,45.72,,41.85,,58.64,,
B-UpfieldVictoriaSt,,,,,,41.25,,41.23,,,41.83
BE-BellvueStBlythSt,,,,,,,45.45,,42.7,,
BE-CanningBrunswick,,,,,,,,,,,35.41
BE-JohnStGlenlyonRd,,,,NaN,,,44.2,,,44.76,
BE-LygonStBlythSt,,,,,,,34.69,,33.81,,
BE-LygonStBrunswickRd,,,,39.13,36.96,,,,41.42,,
BE-LygonStGlenlyonRd,,,,34.2,,30.21,,,,36.65,
BE-MerriCrkBlythSt,,,,,,,,29.53,,32.87,
BE-MerriCrkSumner,,,,,,,,40.39,,30.04,
BE-NicholsonStBlythSt,,,,,35.5,,40.34,,,,43.36
BE-NicholsonStBrunswickRd,,,,32.53,,31.52,,,,37.1,
BE-NicholsonStGlenlyonRd,,,,,,39.51,,32.99,,,34.1
BE-TruscottBrunswickRd,,,,42.35,39.87,,,,40.62,,40.37
BW-55TramParkSt,,,,,,,36.73,39.0,,,41.11
BW-CityLinkBrunswickRd,,,,,,26.67,,34.38,,,29.89
BW-CityLinkDawsonSt,,NaN,,40.0,,,,,42.55,,
BW-CityLinkVictoriaSt,,,,,,,,23.81,,,
BW-DalyStDawsonSt,,,,38.66,,25.71,,,,39.85,
BW-FlemingStParkSt,,,,,,,34.92,,28.68,,
BW-GranthamStBrunswickRd,,,,38.33,,34.53,,,,,36.92
BW-HopetounAvAlbionSt,,,,,24.24,,19.05,,,22.67,
BW-JolleyStAlbionSt,,,,,50.85,,,,38.78,,
BW-MelvilleDawsonSt,,,,NaN,,26.32,,,,41.03,
BW-MelvilleRdVictoriaSt,,,,25.33,30.91,,32.56,,,,35.92
BW-PearsonStVictoriaSt,,,,,31.25,,38.56,,,32.04,
