B-BarrowStAlbionSt-2011-03-01

countsite, site_description, suburb, dist_from_cbd, easting, northing, melway_ref, primary_road, secondary_road
B-BarrowStAlbionSt, Barrow St and Albion St, Brunswick, 6.9, 321143.92, 581869.75, 29 J6, Barrow St, Albion St

countsite, count_date, bin_duration, counting, gender_split, counter
B-BarrowStAlbionSt, 2011-03-01, 15, bicycle riders, Y, 


countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
B-BarrowStAlbionSt, 2011-03-01 07:00:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
B-BarrowStAlbionSt, 2011-03-01 07:15:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
B-BarrowStAlbionSt, 2011-03-01 07:30:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
B-BarrowStAlbionSt, 2011-03-01 07:45:00, 15, bicycle riders, F, 5, 0, 2, 0, 6, 1, 0, 0, 0, 1, 5, 0
B-BarrowStAlbionSt, 2011-03-01 08:00:00, 15, bicycle riders, F, 0, 0, 0, 0, 2, 1, 0, 0, 0, 1, 2, 0
B-BarrowStAlbionSt, 2011-03-01 08:15:00, 15, bicycle riders, F, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0
B-BarrowStAlbionSt, 2011-03-01 08:30:00, 15, bicycle riders, F, 0, 0, 1, 0, 4, 0, 0, 0, 0, 0, 7, 0
B-BarrowStAlbionSt, 2011-03-01 08:45:00, 15, bicycle riders, F, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 2, 0

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
B-BarrowStAlbionSt, 2011-03-01 07:00:00, 15, bicycle riders, M, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
B-BarrowStAlbionSt, 2011-03-01 07:15:00, 15, bicycle riders, M, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
B-BarrowStAlbionSt, 2011-03-01 07:30:00, 15, bicycle riders, M, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
B-BarrowStAlbionSt, 2011-03-01 07:45:00, 15, bicycle riders, M, 6, 0, 2, 0, 6, 1, 1, 0, 0, 1, 6, 0
B-BarrowStAlbionSt, 2011-03-01 08:00:00, 15, bicycle riders, M, 1, 0, 2, 0, 3, 0, 0, 0, 0, 0, 2, 0
B-BarrowStAlbionSt, 2011-03-01 08:15:00, 15, bicycle riders, M, 0, 0, 3, 0, 1, 0, 0, 0, 0, 0, 3, 0
B-BarrowStAlbionSt, 2011-03-01 08:30:00, 15, bicycle riders, M, 1, 0, 4, 0, 0, 0, 0, 0, 0, 0, 3, 0
B-BarrowStAlbionSt, 2011-03-01 08:45:00, 15, bicycle riders, M, 2, 0, 2, 0, 2, 0, 1, 0, 0, 0, 1, 0
