B-EwingStBrunswickRd-2011-03-01

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
B-EwingStBrunswickRd, 2011-03-01 07:00:00, 15, bicycle riders, F, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
B-EwingStBrunswickRd, 2011-03-01 07:15:00, 15, bicycle riders, F, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
B-EwingStBrunswickRd, 2011-03-01 07:30:00, 15, bicycle riders, F, 0, 2, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0
B-EwingStBrunswickRd, 2011-03-01 07:45:00, 15, bicycle riders, F, 1, 1, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0
B-EwingStBrunswickRd, 2011-03-01 08:00:00, 15, bicycle riders, F, 0, 7, 1, 0, 0, 0, 0, 1, 0, 0, 2, 0
B-EwingStBrunswickRd, 2011-03-01 08:15:00, 15, bicycle riders, F, 0, 12, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0
B-EwingStBrunswickRd, 2011-03-01 08:30:00, 15, bicycle riders, F, 0, 9, 4, 0, 1, 0, 0, 0, 0, 0, 3, 0
B-EwingStBrunswickRd, 2011-03-01 08:45:00, 15, bicycle riders, F, 0, 11, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
B-EwingStBrunswickRd, 2011-03-01 07:00:00, 15, bicycle riders, M, 0, 1, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
B-EwingStBrunswickRd, 2011-03-01 07:15:00, 15, bicycle riders, M, 1, 2, 3, 0, 2, 0, 1, 0, 0, 1, 2, 0
B-EwingStBrunswickRd, 2011-03-01 07:30:00, 15, bicycle riders, M, 0, 3, 0, 0, 2, 0, 1, 1, 0, 0, 2, 0
B-EwingStBrunswickRd, 2011-03-01 07:45:00, 15, bicycle riders, M, 0, 4, 3, 1, 3, 0, 0, 0, 1, 0, 0, 1
B-EwingStBrunswickRd, 2011-03-01 08:00:00, 15, bicycle riders, M, 0, 6, 7, 2, 4, 0, 0, 0, 0, 0, 1, 0
B-EwingStBrunswickRd, 2011-03-01 08:15:00, 15, bicycle riders, M, 2, 16, 2, 0, 3, 0, 0, 0, 0, 0, 3, 0
B-EwingStBrunswickRd, 2011-03-01 08:30:00, 15, bicycle riders, M, 2, 9, 6, 0, 6, 0, 0, 0, 0, 0, 3, 0
B-EwingStBrunswickRd, 2011-03-01 08:45:00, 15, bicycle riders, M, 0, 17, 2, 1, 2, 0, 0, 0, 0, 0, 4, 0
