B-EwingStBrunswickRd-2016-03-01

countsite, site_description, suburb, dist_from_cbd, easting, northing, melway_ref, primary_road, secondary_road
B-EwingStBrunswickRd,Ewing St and Brunswick Rd,Brunswick,5.2,320942.8,5816889.1,29 H10,Ewing St,Brunswick Rd

countsite, count_date, bin_duration, counting, gender_split, counter
B-EwingStBrunswickRd,2016-03-01,15,bicycle riders,Y,Katie O'Bryan


countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
B-EwingStBrunswickRd,2016-03-01 07:00:00,15,bicycle riders,F,0,2,0,0,1,0,0,0,0,0,1,0
B-EwingStBrunswickRd,2016-03-01 07:15:00,15,bicycle riders,F,1,8,0,0,1,0,0,0,0,0,0,0
B-EwingStBrunswickRd,2016-03-01 07:30:00,15,bicycle riders,F,0,2,2,1,1,0,0,1,0,0,0,0
B-EwingStBrunswickRd,2016-03-01 07:45:00,15,bicycle riders,F,0,1,1,0,0,0,0,1,0,0,1,1
B-EwingStBrunswickRd,2016-03-01 08:00:00,15,bicycle riders,F,2,14,0,1,1,0,0,0,0,0,0,0
B-EwingStBrunswickRd,2016-03-01 08:15:00,15,bicycle riders,F,0,19,2,0,0,0,1,0,0,0,0,0
B-EwingStBrunswickRd,2016-03-01 08:30:00,15,bicycle riders,F,1,19,3,0,0,0,0,1,0,1,0,0
B-EwingStBrunswickRd,2016-03-01 08:45:00,15,bicycle riders,F,0,19,5,0,0,0,0,3,0,0,0,0

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
B-EwingStBrunswickRd,2016-03-01 07:00:00,15,bicycle riders,M,0,4,3,0,1,1,0,0,1,1,2,0
B-EwingStBrunswickRd,2016-03-01 07:15:00,15,bicycle riders,M,1,4,3,0,1,0,0,0,0,0,2,0
B-EwingStBrunswickRd,2016-03-01 07:30:00,15,bicycle riders,M,0,5,3,0,1,0,0,0,0,1,1,0
B-EwingStBrunswickRd,2016-03-01 07:45:00,15,bicycle riders,M,0,8,4,2,2,0,0,0,0,1,1,0
B-EwingStBrunswickRd,2016-03-01 08:00:00,15,bicycle riders,M,0,15,2,0,2,2,0,1,0,0,0,1
B-EwingStBrunswickRd,2016-03-01 08:15:00,15,bicycle riders,M,0,23,7,0,2,0,0,0,0,0,0,0
B-EwingStBrunswickRd,2016-03-01 08:30:00,15,bicycle riders,M,0,19,4,0,0,0,0,1,0,0,1,0
B-EwingStBrunswickRd,2016-03-01 08:45:00,15,bicycle riders,M,0,28,4,0,0,0,0,3,0,1,0,0
