countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
B-GranthamDawsonSt, 2013-03-05 07:00:00, 15, bicycle riders, F, NA, NA, NA, 0, 1, NA, 0, NA, 2, NA, 2, 1
B-GranthamDawsonSt, 2013-03-05 07:15:00, 15, bicycle riders, F, NA, NA, NA, 0, 0, NA, 0, NA, 0, NA, 0, 2
B-GranthamDawsonSt, 2013-03-05 07:30:00, 15, bicycle riders, F, NA, NA, NA, 0, 0, NA, 0, NA, 0, NA, 1, 2
B-GranthamDawsonSt, 2013-03-05 07:45:00, 15, bicycle riders, F, NA, NA, NA, 0, 1, NA, 0, NA, 0, NA, 1, 3
B-GranthamDawsonSt, 2013-03-05 08:00:00, 15, bicycle riders, F, NA, NA, NA, 0, 0, NA, 0, NA, 0, NA, 2, 4
B-GranthamDawsonSt, 2013-03-05 08:15:00, 15, bicycle riders, F, NA, NA, NA, 0, 0, NA, 0, NA, 0, NA, 6, 3
B-GranthamDawsonSt, 2013-03-05 08:30:00, 15, bicycle riders, F, NA, NA, NA, 0, 2, NA, 0, NA, 1, NA, 4, 3
B-GranthamDawsonSt, 2013-03-05 08:45:00, 15, bicycle riders, F, NA, NA, NA, 0, 1, NA, 0, NA, 0, NA, 4, 4
B-GranthamDawsonSt, 2013-03-05 07:00:00, 15, bicycle riders, M, NA, NA, NA, 0, 3, NA, 0, NA, 1, NA, 2, 2
B-GranthamDawsonSt, 2013-03-05 07:15:00, 15, bicycle riders, M, NA, NA, NA, 0, 3, NA, 0, NA, 0, NA, 5, 4
B-GranthamDawsonSt, 2013-03-05 07:30:00, 15, bicycle riders, M, NA, NA, NA, 1, 3, NA, 0, NA, 0, NA, 7, 6
B-GranthamDawsonSt, 2013-03-05 07:45:00, 15, bicycle riders, M, NA, NA, NA, 1, 4, NA, 0, NA, 0, NA, 4, 6
B-GranthamDawsonSt, 2013-03-05 08:00:00, 15, bicycle riders, M, NA, NA, NA, 1, 2, NA, 0, NA, 2, NA, 4, 9
B-GranthamDawsonSt, 2013-03-05 08:15:00, 15, bicycle riders, M, NA, NA, NA, 0, 3, NA, 0, NA, 1, NA, 10, 12
B-GranthamDawsonSt, 2013-03-05 08:30:00, 15, bicycle riders, M, NA, NA, NA, 1, 2, NA, 2, NA, 0, NA, 8, 11
B-GranthamDawsonSt, 2013-03-05 08:45:00, 15, bicycle riders, M, NA, NA, NA, 0, 2, NA, 1, NA, 0, NA, 7, 5
