B-SydneyRdAlbionSt-2012-03-06

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
B-SydneyRdAlbionSt, 2012-03-06 07:00:00, 15, bicycle riders, F, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0
B-SydneyRdAlbionSt, 2012-03-06 07:15:00, 15, bicycle riders, F, 0, 2, 0, 1, 4, 0, 1, 0, 0, 0, 2, 1
B-SydneyRdAlbionSt, 2012-03-06 07:30:00, 15, bicycle riders, F, 0, 4, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0
B-SydneyRdAlbionSt, 2012-03-06 07:45:00, 15, bicycle riders, F, 0, 5, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
B-SydneyRdAlbionSt, 2012-03-06 08:00:00, 15, bicycle riders, F, 0, 5, 0, 1, 3, 1, 0, 0, 0, 0, 0, 0
B-SydneyRdAlbionSt, 2012-03-06 08:15:00, 15, bicycle riders, F, 0, 5, 0, 3, 1, 0, 0, 0, 0, 0, 4, 2
B-SydneyRdAlbionSt, 2012-03-06 08:30:00, 15, bicycle riders, F, 1, 2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1
B-SydneyRdAlbionSt, 2012-03-06 08:45:00, 15, bicycle riders, F, 0, 4, 0, 5, 3, 0, 0, 2, 0, 0, 3, 0

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
B-SydneyRdAlbionSt, 2012-03-06 07:00:00, 15, bicycle riders, M, 0, 10, 0, 0, 5, 1, 0, 1, 0, 1, 2, 2
B-SydneyRdAlbionSt, 2012-03-06 07:15:00, 15, bicycle riders, M, 0, 6, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1
B-SydneyRdAlbionSt, 2012-03-06 07:30:00, 15, bicycle riders, M, 1, 12, 0, 2, 1, 0, 0, 1, 0, 0, 1, 1
B-SydneyRdAlbionSt, 2012-03-06 07:45:00, 15, bicycle riders, M, 0, 17, 1, 1, 2, 0, 0, 1, 0, 0, 0, 1
B-SydneyRdAlbionSt, 2012-03-06 08:00:00, 15, bicycle riders, M, 0, 16, 0, 2, 1, 0, 0, 1, 0, 0, 1, 0
B-SydneyRdAlbionSt, 2012-03-06 08:15:00, 15, bicycle riders, M, 3, 7, 0, 0, 3, 0, 0, 1, 0, 0, 0, 1
B-SydneyRdAlbionSt, 2012-03-06 08:30:00, 15, bicycle riders, M, 0, 12, 0, 2, 2, 0, 0, 1, 0, 0, 0, 1
B-SydneyRdAlbionSt, 2012-03-06 08:45:00, 15, bicycle riders, M, 0, 13, 0, 3, 2, 0, 0, 0, 0, 0, 0, 3
