countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
B-SydneyRdBrunswickRd, 2011-03-01 07:00:00, 15, bicycle riders, F, 0, 3, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2
B-SydneyRdBrunswickRd, 2011-03-01 07:15:00, 15, bicycle riders, F, 1, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
B-SydneyRdBrunswickRd, 2011-03-01 07:30:00, 15, bicycle riders, F, 0, 9, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0
B-SydneyRdBrunswickRd, 2011-03-01 07:45:00, 15, bicycle riders, F, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
B-SydneyRdBrunswickRd, 2011-03-01 08:00:00, 15, bicycle riders, F, 0, 13, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0
B-SydneyRdBrunswickRd, 2011-03-01 08:15:00, 15, bicycle riders, F, 0, 21, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
B-SydneyRdBrunswickRd, 2011-03-01 08:30:00, 15, bicycle riders, F, 1, 21, 0, 1, 0, 0, 0, 3, 0, 0, 1, 4
B-SydneyRdBrunswickRd, 2011-03-01 08:45:00, 15, bicycle riders, F, 2, 32, 0, 1, 1, 1, 1, 0, 0, 1, 0, 2
B-SydneyRdBrunswickRd, 2011-03-01 07:00:00, 15, bicycle riders, M, 0, 21, 0, 1, 1, 0, 1, 3, 0, 0, 0, 0
B-SydneyRdBrunswickRd, 2011-03-01 07:15:00, 15, bicycle riders, M, 2, 23, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
B-SydneyRdBrunswickRd, 2011-03-01 07:30:00, 15, bicycle riders, M, 0, 22, 0, 0, 2, 0, 1, 5, 1, 0, 0, 1
B-SydneyRdBrunswickRd, 2011-03-01 07:45:00, 15, bicycle riders, M, 0, 29, 0, 1, 0, 0, 0, 4, 0, 0, 2, 2
B-SydneyRdBrunswickRd, 2011-03-01 08:00:00, 15, bicycle riders, M, 0, 38, 0, 0, 0, 0, 0, 3, 0, 0, 1, 8
B-SydneyRdBrunswickRd, 2011-03-01 08:15:00, 15, bicycle riders, M, 1, 37, 1, 0, 0, 0, 0, 2, 0, 0, 3, 3
B-SydneyRdBrunswickRd, 2011-03-01 08:30:00, 15, bicycle riders, M, 0, 44, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3
B-SydneyRdBrunswickRd, 2011-03-01 08:45:00, 15, bicycle riders, M, 0, 40, 0, 3, 1, 0, 0, 1, 0, 0, 0, 4
