B-SydneyRdBrunswickRd-2014-03-04

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
B-SydneyRdBrunswickRd, 2014-03-04 07:00:00, 15, bicycle riders, F, 0, 11, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
B-SydneyRdBrunswickRd, 2014-03-04 07:15:00, 15, bicycle riders, F, 0, 13, 0, 0, 0, 0, 0, 1, 0, 0, 0, 4
B-SydneyRdBrunswickRd, 2014-03-04 07:30:00, 15, bicycle riders, F, 1, 22, 0, 0, 1, 0, 0, 0, 1, 0, 0, 2
B-SydneyRdBrunswickRd, 2014-03-04 07:45:00, 15, bicycle riders, F, 0, 26, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1
B-SydneyRdBrunswickRd, 2014-03-04 08:00:00, 15, bicycle riders, F, 0, 29, 0, 0, 0, 0, 0, 1, 0, 0, 3, 4
B-SydneyRdBrunswickRd, 2014-03-04 08:15:00, 15, bicycle riders, F, 0, 38, 1, 0, 1, 0, 2, 1, 0, 0, 0, 3
B-SydneyRdBrunswickRd, 2014-03-04 08:30:00, 15, bicycle riders, F, 0, 38, 0, 0, 0, 1, 0, 2, 0, 0, 0, 4
B-SydneyRdBrunswickRd, 2014-03-04 08:45:00, 15, bicycle riders, F, 0, 25, 0, 0, 0, 0, 0, 2, 0, 0, 0, 4

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
B-SydneyRdBrunswickRd, 2014-03-04 07:00:00, 15, bicycle riders, M, 0, 17, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
B-SydneyRdBrunswickRd, 2014-03-04 07:15:00, 15, bicycle riders, M, 1, 25, 0, 1, 0, 0, 0, 1, 0, 0, 1, 4
B-SydneyRdBrunswickRd, 2014-03-04 07:30:00, 15, bicycle riders, M, 0, 41, 0, 0, 1, 0, 0, 4, 0, 0, 0, 3
B-SydneyRdBrunswickRd, 2014-03-04 07:45:00, 15, bicycle riders, M, 0, 32, 0, 1, 1, 0, 0, 0, 0, 0, 0, 3
B-SydneyRdBrunswickRd, 2014-03-04 08:00:00, 15, bicycle riders, M, 1, 66, 1, 3, 1, 0, 0, 7, 0, 1, 0, 2
B-SydneyRdBrunswickRd, 2014-03-04 08:15:00, 15, bicycle riders, M, 2, 65, 1, 1, 2, 2, 2, 3, 0, 0, 1, 14
B-SydneyRdBrunswickRd, 2014-03-04 08:30:00, 15, bicycle riders, M, 0, 52, 0, 0, 0, 0, 1, 2, 0, 0, 1, 10
B-SydneyRdBrunswickRd, 2014-03-04 08:45:00, 15, bicycle riders, M, 1, 38, 0, 2, 0, 0, 0, 8, 0, 0, 1, 10
