B-SydneyRdBrunswickRd-2017-03-07

countsite, site_description, suburb, dist_from_cbd, easting, northing, melway_ref, primary_road, secondary_road
B-SydneyRdBrunswickRd, Sydney Rd and Brunswick Rd, Brunswick, 4.5, 320382.36, 5816955.63, 29 G10, Sydney Rd, Brunswick Rd

countsite, count_date, bin_duration, counting, gender_split, counter
B-SydneyRdBrunswickRd, 2017-03-07, 15, bicycle riders, Y, Axel Bocciarelli & Stephen Dixon


countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
B-SydneyRdBrunswickRd, 2017-03-07 07:00:00, 15, bicycle riders, F, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
B-SydneyRdBrunswickRd, 2017-03-07 07:15:00, 15, bicycle riders, F, 0, 10, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0
B-SydneyRdBrunswickRd, 2017-03-07 07:30:00, 15, bicycle riders, F, 0, 13, 0, 0, 0, 0, 0, 4, 0, 0, 0, 2
B-SydneyRdBrunswickRd, 2017-03-07 07:45:00, 15, bicycle riders, F, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
B-SydneyRdBrunswickRd, 2017-03-07 08:00:00, 15, bicycle riders, F, 0, 20, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
B-SydneyRdBrunswickRd, 2017-03-07 08:15:00, 15, bicycle riders, F, 0, 33, 0, 1, 0, 0, 1, 3, 0, 0, 1, 3
B-SydneyRdBrunswickRd, 2017-03-07 08:30:00, 15, bicycle riders, F, 0, 25, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6
B-SydneyRdBrunswickRd, 2017-03-07 08:45:00, 15, bicycle riders, F, 0, 24, 0, 1, 0, 0, 1, 2, 1, 0, 0, 5

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
B-SydneyRdBrunswickRd, 2017-03-07 07:00:00, 15, bicycle riders, M, 0, 4, 0, 0, 1, 0, 0, 3, 0, 0, 0, 1
B-SydneyRdBrunswickRd, 2017-03-07 07:15:00, 15, bicycle riders, M, 0, 16, 0, 0, 1, 0, 0, 2, 0, 0, 0, 2
B-SydneyRdBrunswickRd, 2017-03-07 07:30:00, 15, bicycle riders, M, 1, 26, 0, 0, 0, 1, 0, 2, 0, 0, 0, 2
B-SydneyRdBrunswickRd, 2017-03-07 07:45:00, 15, bicycle riders, M, 0, 37, 0, 0, 1, 1, 1, 2, 0, 0, 0, 5
B-SydneyRdBrunswickRd, 2017-03-07 08:00:00, 15, bicycle riders, M, 0, 42, 1, 0, 0, 1, 0, 0, 1, 0, 1, 5
B-SydneyRdBrunswickRd, 2017-03-07 08:15:00, 15, bicycle riders, M, 0, 53, 0, 1, 0, 1, 0, 1, 0, 1, 3, 9
B-SydneyRdBrunswickRd, 2017-03-07 08:30:00, 15, bicycle riders, M, 0, 57, 0, 0, 3, 0, 0, 3, 0, 1, 1, 6
B-SydneyRdBrunswickRd, 2017-03-07 08:45:00, 15, bicycle riders, M, 0, 34, 1, 0, 1, 0, 0, 2, 0, 0, 1, 12
