countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
B-SydneyRdGlenlyonRd, 2016-03-01 07:00:00, 15, bicycle riders, F, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
B-SydneyRdGlenlyonRd, 2016-03-01 07:15:00, 15, bicycle riders, F, 0, 7, 1, 0, 2, 0, 0, 1, 0, 0, 1, 1
B-SydneyRdGlenlyonRd, 2016-03-01 07:30:00, 15, bicycle riders, F, 1, 6, 0, 0, 6, 0, 0, 1, 0, 0, 2, 0
B-SydneyRdGlenlyonRd, 2016-03-01 07:45:00, 15, bicycle riders, F, 0, 12, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1
B-SydneyRdGlenlyonRd, 2016-03-01 08:00:00, 15, bicycle riders, F, 0, 15, 1, 1, 5, 1, 0, 0, 0, 0, 0, 1
B-SydneyRdGlenlyonRd, 2016-03-01 08:15:00, 15, bicycle riders, F, 0, 8, 2, 3, 9, 1, 0, 2, 1, 0, 2, 2
B-SydneyRdGlenlyonRd, 2016-03-01 08:30:00, 15, bicycle riders, F, 0, 15, 2, 2, 7, 1, 0, 2, 0, 0, 3, 3
B-SydneyRdGlenlyonRd, 2016-03-01 08:45:00, 15, bicycle riders, F, 1, 8, 1, 0, 3, 1, 1, 0, 0, 0, 1, 2
B-SydneyRdGlenlyonRd, 2016-03-01 07:00:00, 15, bicycle riders, M, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1
B-SydneyRdGlenlyonRd, 2016-03-01 07:15:00, 15, bicycle riders, M, 0, 16, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
B-SydneyRdGlenlyonRd, 2016-03-01 07:30:00, 15, bicycle riders, M, 0, 22, 0, 0, 2, 2, 0, 0, 0, 0, 1, 4
B-SydneyRdGlenlyonRd, 2016-03-01 07:45:00, 15, bicycle riders, M, 0, 21, 1, 1, 8, 0, 1, 3, 1, 0, 3, 2
B-SydneyRdGlenlyonRd, 2016-03-01 08:00:00, 15, bicycle riders, M, 0, 36, 1, 3, 5, 1, 0, 0, 0, 0, 5, 4
B-SydneyRdGlenlyonRd, 2016-03-01 08:15:00, 15, bicycle riders, M, 0, 32, 0, 1, 5, 0, 0, 0, 0, 0, 0, 2
B-SydneyRdGlenlyonRd, 2016-03-01 08:30:00, 15, bicycle riders, M, 0, 39, 0, 2, 3, 0, 0, 6, 0, 0, 1, 6
B-SydneyRdGlenlyonRd, 2016-03-01 08:45:00, 15, bicycle riders, M, 0, 20, 1, 2, 12, 0, 0, 2, 0, 1, 2, 6
