B-SydneyRdParkSt-2009-04-02

countsite, site_description, suburb, dist_from_cbd, easting, northing, melway_ref, primary_road, secondary_road
B-SydneyRdParkSt, Sydney Rd and Park St, Brunswick, 4.4, 320365.86, 5816853.53, 29 G10, Sydney Rd, Park St

countsite, count_date, bin_duration, counting, gender_split, counter
B-SydneyRdParkSt, 2009-04-02, 15, bicycle riders, Y, 


countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
B-SydneyRdParkSt, 2009-04-02 07:00:00, 15, bicycle riders, F, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 4, 0
B-SydneyRdParkSt, 2009-04-02 07:15:00, 15, bicycle riders, F, 0, 3, 0, 1, 2, 0, 0, 1, 0, 0, 2, 4
B-SydneyRdParkSt, 2009-04-02 07:30:00, 15, bicycle riders, F, 0, 5, 0, 2, 1, 0, 0, 0, 0, 0, 6, 7
B-SydneyRdParkSt, 2009-04-02 07:45:00, 15, bicycle riders, F, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 6, 9
B-SydneyRdParkSt, 2009-04-02 08:00:00, 15, bicycle riders, F, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3
B-SydneyRdParkSt, 2009-04-02 08:15:00, 15, bicycle riders, F, 2, 15, 0, 0, 0, 0, 0, 0, 0, 0, 10, 12
B-SydneyRdParkSt, 2009-04-02 08:30:00, 15, bicycle riders, F, 2, 18, 0, 0, 0, 0, 0, 0, 0, 0, 22, 11
B-SydneyRdParkSt, 2009-04-02 08:45:00, 15, bicycle riders, F, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 11, 12

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
B-SydneyRdParkSt, 2009-04-02 07:00:00, 15, bicycle riders, M, 0, 19, 0, 0, 2, 0, 0, 1, 0, 0, 5, 0
B-SydneyRdParkSt, 2009-04-02 07:15:00, 15, bicycle riders, M, 2, 18, 0, 2, 2, 1, 0, 1, 0, 0, 4, 6
B-SydneyRdParkSt, 2009-04-02 07:30:00, 15, bicycle riders, M, 1, 25, 0, 1, 2, 0, 0, 2, 0, 0, 14, 8
B-SydneyRdParkSt, 2009-04-02 07:45:00, 15, bicycle riders, M, 0, 27, 0, 1, 8, 0, 1, 1, 3, 0, 18, 12
B-SydneyRdParkSt, 2009-04-02 08:00:00, 15, bicycle riders, M, 1, 27, 0, 0, 1, 0, 0, 2, 0, 0, 22, 12
B-SydneyRdParkSt, 2009-04-02 08:15:00, 15, bicycle riders, M, 3, 56, 0, 0, 1, 0, 0, 2, 0, 1, 19, 11
B-SydneyRdParkSt, 2009-04-02 08:30:00, 15, bicycle riders, M, 6, 50, 0, 1, 4, 0, 1, 1, 0, 0, 17, 22
B-SydneyRdParkSt, 2009-04-02 08:45:00, 15, bicycle riders, M, 5, 44, 0, 3, 5, 0, 0, 0, 0, 0, 19, 24
