B-SydneyRdParkSt-2011-04-29

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
B-SydneyRdParkSt, 2011-04-29 07:00:00, 15, bicycle riders, F, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 5
B-SydneyRdParkSt, 2011-04-29 07:15:00, 15, bicycle riders, F, 0, 9, 0, 2, 3, 0, 0, 3, 0, 0, 3, 5
B-SydneyRdParkSt, 2011-04-29 07:30:00, 15, bicycle riders, F, 0, 3, 0, 0, 4, 1, 0, 5, 11, 1, 1, 5
B-SydneyRdParkSt, 2011-04-29 07:45:00, 15, bicycle riders, F, 1, 11, 0, 0, 0, 0, 0, 1, 0, 0, 5, 7
B-SydneyRdParkSt, 2011-04-29 08:00:00, 15, bicycle riders, F, 1, 14, 0, 0, 6, 0, 0, 0, 0, 0, 9, 18
B-SydneyRdParkSt, 2011-04-29 08:15:00, 15, bicycle riders, F, 1, 16, 0, 0, 0, 1, 0, 1, 0, 0, 10, 12
B-SydneyRdParkSt, 2011-04-29 08:30:00, 15, bicycle riders, F, 1, 10, 0, 0, 1, 0, 0, 3, 0, 0, 15, 9
B-SydneyRdParkSt, 2011-04-29 08:45:00, 15, bicycle riders, F, 0, 17, 0, 1, 1, 0, 0, 0, 0, 0, 5, 13

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
B-SydneyRdParkSt, 2011-04-29 07:00:00, 15, bicycle riders, M, 1, 5, 0, 1, 0, 0, 0, 1, 0, 0, 1, 4
B-SydneyRdParkSt, 2011-04-29 07:15:00, 15, bicycle riders, M, 0, 11, 1, 0, 7, 2, 0, 5, 3, 2, 4, 10
B-SydneyRdParkSt, 2011-04-29 07:30:00, 15, bicycle riders, M, 0, 8, 0, 4, 3, 0, 1, 10, 14, 1, 3, 4
B-SydneyRdParkSt, 2011-04-29 07:45:00, 15, bicycle riders, M, 0, 43, 0, 0, 3, 1, 0, 1, 0, 0, 20, 20
B-SydneyRdParkSt, 2011-04-29 08:00:00, 15, bicycle riders, M, 2, 41, 0, 0, 2, 0, 1, 2, 0, 0, 11, 25
B-SydneyRdParkSt, 2011-04-29 08:15:00, 15, bicycle riders, M, 0, 36, 0, 2, 3, 2, 0, 5, 0, 0, 10, 20
B-SydneyRdParkSt, 2011-04-29 08:30:00, 15, bicycle riders, M, 1, 43, 0, 1, 2, 1, 0, 0, 0, 0, 15, 13
B-SydneyRdParkSt, 2011-04-29 08:45:00, 15, bicycle riders, M, 1, 41, 0, 0, 2, 0, 3, 0, 0, 0, 12, 21
