B-SydneyRdVictoriaSt-2012-03-06

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
B-SydneyRdVictoriaSt, 2012-03-06 07:00:00, 15, bicycle riders, F, 0, 1, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0
B-SydneyRdVictoriaSt, 2012-03-06 07:15:00, 15, bicycle riders, F, 0, 5, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
B-SydneyRdVictoriaSt, 2012-03-06 07:30:00, 15, bicycle riders, F, 1, 5, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0
B-SydneyRdVictoriaSt, 2012-03-06 07:45:00, 15, bicycle riders, F, 0, 9, 0, 2, 1, 0, 0, 0, 0, 0, 0, 1
B-SydneyRdVictoriaSt, 2012-03-06 08:00:00, 15, bicycle riders, F, 0, 7, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
B-SydneyRdVictoriaSt, 2012-03-06 08:15:00, 15, bicycle riders, F, 0, 12, 1, 3, 3, 0, 0, 0, 0, 0, 0, 3
B-SydneyRdVictoriaSt, 2012-03-06 08:30:00, 15, bicycle riders, F, 0, 10, 0, 1, 2, 0, 0, 0, 0, 0, 0, 2
B-SydneyRdVictoriaSt, 2012-03-06 08:45:00, 15, bicycle riders, F, 0, 18, 2, 1, 1, 0, 1, 1, 0, 0, 0, 5

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
B-SydneyRdVictoriaSt, 2012-03-06 07:00:00, 15, bicycle riders, M, 0, 10, 0, 0, 2, 0, 0, 2, 0, 0, 2, 2
B-SydneyRdVictoriaSt, 2012-03-06 07:15:00, 15, bicycle riders, M, 0, 13, 1, 0, 2, 0, 0, 0, 0, 0, 1, 3
B-SydneyRdVictoriaSt, 2012-03-06 07:30:00, 15, bicycle riders, M, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
B-SydneyRdVictoriaSt, 2012-03-06 07:45:00, 15, bicycle riders, M, 0, 16, 0, 2, 1, 0, 0, 1, 0, 0, 0, 3
B-SydneyRdVictoriaSt, 2012-03-06 08:00:00, 15, bicycle riders, M, 0, 36, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2
B-SydneyRdVictoriaSt, 2012-03-06 08:15:00, 15, bicycle riders, M, 0, 22, 1, 1, 5, 0, 0, 0, 0, 0, 2, 2
B-SydneyRdVictoriaSt, 2012-03-06 08:30:00, 15, bicycle riders, M, 0, 26, 1, 4, 4, 0, 0, 1, 0, 1, 0, 5
B-SydneyRdVictoriaSt, 2012-03-06 08:45:00, 15, bicycle riders, M, 0, 24, 0, 3, 0, 1, 1, 0, 0, 0, 0, 4
