countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
B-SydneyRdVictoriaSt, 2014-03-04 07:00:00, 15, bicycle riders, F, 0, 5, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
B-SydneyRdVictoriaSt, 2014-03-04 07:15:00, 15, bicycle riders, F, 0, 3, 0, 1, 2, 1, 0, 0, 0, 0, 0, 0
B-SydneyRdVictoriaSt, 2014-03-04 07:30:00, 15, bicycle riders, F, 0, 9, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
B-SydneyRdVictoriaSt, 2014-03-04 07:45:00, 15, bicycle riders, F, 0, 14, 0, 3, 1, 0, 0, 0, 0, 1, 0, 1
B-SydneyRdVictoriaSt, 2014-03-04 08:00:00, 15, bicycle riders, F, 0, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 5
B-SydneyRdVictoriaSt, 2014-03-04 08:15:00, 15, bicycle riders, F, 0, 16, 0, 0, 1, 0, 0, 0, 0, 0, 1, 4
B-SydneyRdVictoriaSt, 2014-03-04 08:30:00, 15, bicycle riders, F, 0, 10, 0, 2, 5, 1, 0, 0, 0, 0, 1, 5
B-SydneyRdVictoriaSt, 2014-03-04 08:45:00, 15, bicycle riders, F, 0, 12, 0, 2, 2, 0, 0, 1, 0, 0, 0, 2
B-SydneyRdVictoriaSt, 2014-03-04 07:00:00, 15, bicycle riders, M, 0, 7, 0, 0, 2, 0, 0, 1, 0, 0, 2, 3
B-SydneyRdVictoriaSt, 2014-03-04 07:15:00, 15, bicycle riders, M, 0, 11, 0, 1, 4, 0, 0, 2, 0, 0, 0, 3
B-SydneyRdVictoriaSt, 2014-03-04 07:30:00, 15, bicycle riders, M, 1, 19, 1, 2, 3, 0, 0, 1, 0, 0, 2, 0
B-SydneyRdVictoriaSt, 2014-03-04 07:45:00, 15, bicycle riders, M, 0, 18, 0, 4, 5, 1, 0, 0, 0, 0, 1, 3
B-SydneyRdVictoriaSt, 2014-03-04 08:00:00, 15, bicycle riders, M, 0, 24, 1, 0, 1, 0, 0, 1, 0, 0, 3, 9
B-SydneyRdVictoriaSt, 2014-03-04 08:15:00, 15, bicycle riders, M, 0, 25, 0, 1, 4, 0, 0, 3, 1, 0, 1, 11
B-SydneyRdVictoriaSt, 2014-03-04 08:30:00, 15, bicycle riders, M, 0, 24, 0, 2, 4, 1, 0, 0, 0, 0, 0, 4
B-SydneyRdVictoriaSt, 2014-03-04 08:45:00, 15, bicycle riders, M, 1, 16, 2, 0, 3, 0, 0, 0, 0, 0, 1, 2
