B-UpfieldAlbionSt-2010-03-02

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
B-UpfieldAlbionSt, 2010-03-02 07:00:00, 15, bicycle riders, F, 0, 5, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
B-UpfieldAlbionSt, 2010-03-02 07:15:00, 15, bicycle riders, F, 0, 5, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
B-UpfieldAlbionSt, 2010-03-02 07:30:00, 15, bicycle riders, F, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
B-UpfieldAlbionSt, 2010-03-02 07:45:00, 15, bicycle riders, F, 0, 15, 0, 2, 0, 1, 0, 2, 0, 0, 2, 0
B-UpfieldAlbionSt, 2010-03-02 08:00:00, 15, bicycle riders, F, 0, 20, 0, 3, 0, 0, 0, 2, 1, 0, 1, 2
B-UpfieldAlbionSt, 2010-03-02 08:15:00, 15, bicycle riders, F, 0, 26, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0
B-UpfieldAlbionSt, 2010-03-02 08:30:00, 15, bicycle riders, F, 0, 21, 0, 6, 0, 0, 0, 1, 0, 0, 2, 2
B-UpfieldAlbionSt, 2010-03-02 08:45:00, 15, bicycle riders, F, 0, 14, 0, 1, 2, 0, 0, 0, 0, 0, 1, 0

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
B-UpfieldAlbionSt, 2010-03-02 07:00:00, 15, bicycle riders, M, 0, 11, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0
B-UpfieldAlbionSt, 2010-03-02 07:15:00, 15, bicycle riders, M, 0, 7, 0, 0, 0, 0, 0, 2, 0, 1, 2, 2
B-UpfieldAlbionSt, 2010-03-02 07:30:00, 15, bicycle riders, M, 0, 18, 0, 2, 0, 0, 0, 4, 0, 0, 1, 2
B-UpfieldAlbionSt, 2010-03-02 07:45:00, 15, bicycle riders, M, 0, 27, 0, 2, 2, 0, 0, 1, 0, 0, 2, 0
B-UpfieldAlbionSt, 2010-03-02 08:00:00, 15, bicycle riders, M, 0, 24, 0, 3, 0, 0, 1, 1, 0, 0, 2, 1
B-UpfieldAlbionSt, 2010-03-02 08:15:00, 15, bicycle riders, M, 0, 35, 0, 1, 0, 0, 0, 2, 0, 1, 5, 0
B-UpfieldAlbionSt, 2010-03-02 08:30:00, 15, bicycle riders, M, 0, 38, 0, 7, 0, 1, 0, 3, 0, 0, 0, 2
B-UpfieldAlbionSt, 2010-03-02 08:45:00, 15, bicycle riders, M, 1, 23, 0, 4, 5, 0, 0, 2, 0, 0, 1, 2
