B-UpfieldAlbionSt-2012-03-06

countsite, site_description, suburb, dist_from_cbd, easting, northing, melway_ref, primary_road, secondary_road
B-UpfieldAlbionSt, Upfield Bike Path at Albion St, Brunswick, 6.5, 320384.5, 5818798.43, 29 G7, Upfield Shared Path, Albion St

countsite, count_date, bin_duration, counting, gender_split, counter
B-UpfieldAlbionSt, 2012-03-06, 15, bicycle riders, Y, 


countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
B-UpfieldAlbionSt, 2012-03-06 07:00:00, 15, bicycle riders, F, 0, 5, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0
B-UpfieldAlbionSt, 2012-03-06 07:15:00, 15, bicycle riders, F, 0, 9, 0, 3, 0, 2, 0, 0, 0, 0, 1, 1
B-UpfieldAlbionSt, 2012-03-06 07:30:00, 15, bicycle riders, F, 0, 18, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0
B-UpfieldAlbionSt, 2012-03-06 07:45:00, 15, bicycle riders, F, 0, 11, 0, 2, 0, 0, 0, 3, 0, 1, 0, 2
B-UpfieldAlbionSt, 2012-03-06 08:00:00, 15, bicycle riders, F, 1, 27, 0, 1, 0, 0, 0, 1, 1, 4, 1, 3
B-UpfieldAlbionSt, 2012-03-06 08:15:00, 15, bicycle riders, F, 0, 26, 0, 2, 0, 0, 0, 2, 0, 1, 3, 1
B-UpfieldAlbionSt, 2012-03-06 08:30:00, 15, bicycle riders, F, 0, 25, 1, 1, 0, 0, 0, 2, 0, 0, 0, 1
B-UpfieldAlbionSt, 2012-03-06 08:45:00, 15, bicycle riders, F, 1, 20, 0, 1, 0, 0, 0, 0, 0, 0, 3, 2

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
B-UpfieldAlbionSt, 2012-03-06 07:00:00, 15, bicycle riders, M, 0, 11, 0, 4, 1, 0, 0, 1, 0, 0, 3, 1
B-UpfieldAlbionSt, 2012-03-06 07:15:00, 15, bicycle riders, M, 0, 24, 0, 0, 1, 0, 0, 2, 0, 0, 2, 1
B-UpfieldAlbionSt, 2012-03-06 07:30:00, 15, bicycle riders, M, 1, 22, 1, 0, 0, 0, 0, 1, 1, 0, 3, 0
B-UpfieldAlbionSt, 2012-03-06 07:45:00, 15, bicycle riders, M, 0, 33, 0, 1, 0, 0, 0, 1, 0, 1, 2, 0
B-UpfieldAlbionSt, 2012-03-06 08:00:00, 15, bicycle riders, M, 1, 36, 1, 1, 0, 0, 0, 3, 0, 0, 0, 1
B-UpfieldAlbionSt, 2012-03-06 08:15:00, 15, bicycle riders, M, 2, 40, 1, 2, 0, 1, 0, 0, 0, 0, 4, 0
B-UpfieldAlbionSt, 2012-03-06 08:30:00, 15, bicycle riders, M, 1, 37, 0, 4, 0, 0, 0, 3, 0, 0, 0, 0
B-UpfieldAlbionSt, 2012-03-06 08:45:00, 15, bicycle riders, M, 0, 26, 0, 1, 0, 2, 0, 2, 0, 3, 3, 0
