B-UpfieldAlbionSt-2016-03-01

countsite, site_description, suburb, dist_from_cbd, easting, northing, melway_ref, primary_road, secondary_road
B-UpfieldAlbionSt, Upfield Bike Path at Albion St, Brunswick, 6.5, 320384.5, 5818798.43, 29 G7, Upfield Shared Path, Albion St

countsite, count_date, bin_duration, counting, gender_split, counter
B-UpfieldAlbionSt, 2016-03-01, 15, bicycle riders, Y, Gavin Anderson & Alejandro Vesga


countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
B-UpfieldAlbionSt, 2016-03-01 07:00:00, 15, bicycle riders, F, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
B-UpfieldAlbionSt, 2016-03-01 07:15:00, 15, bicycle riders, F, 0, 19, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1
B-UpfieldAlbionSt, 2016-03-01 07:30:00, 15, bicycle riders, F, 0, 15, 0, 2, 0, 0, 0, 1, 0, 1, 0, 1
B-UpfieldAlbionSt, 2016-03-01 07:45:00, 15, bicycle riders, F, 0, 33, 0, 2, 1, 0, 0, 4, 0, 0, 2, 2
B-UpfieldAlbionSt, 2016-03-01 08:00:00, 15, bicycle riders, F, 0, 31, 0, 2, 0, 0, 0, 4, 0, 1, 4, 2
B-UpfieldAlbionSt, 2016-03-01 08:15:00, 15, bicycle riders, F, 0, 43, 0, 5, 0, 0, 0, 1, 1, 0, 1, 4
B-UpfieldAlbionSt, 2016-03-01 08:30:00, 15, bicycle riders, F, 0, 28, 0, 4, 2, 0, 0, 6, 0, 0, 1, 3
B-UpfieldAlbionSt, 2016-03-01 08:45:00, 15, bicycle riders, F, 0, 16, 0, 2, 0, 1, 0, 3, 0, 0, 1, 2

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
B-UpfieldAlbionSt, 2016-03-01 07:00:00, 15, bicycle riders, M, 0, 20, 0, 1, 0, 0, 0, 1, 0, 0, 4, 1
B-UpfieldAlbionSt, 2016-03-01 07:15:00, 15, bicycle riders, M, 1, 17, 2, 0, 0, 0, 1, 1, 0, 0, 1, 2
B-UpfieldAlbionSt, 2016-03-01 07:30:00, 15, bicycle riders, M, 2, 32, 0, 3, 1, 0, 0, 8, 0, 0, 3, 1
B-UpfieldAlbionSt, 2016-03-01 07:45:00, 15, bicycle riders, M, 0, 51, 0, 1, 0, 0, 0, 5, 1, 0, 0, 4
B-UpfieldAlbionSt, 2016-03-01 08:00:00, 15, bicycle riders, M, 1, 56, 0, 4, 2, 0, 0, 4, 0, 0, 1, 6
B-UpfieldAlbionSt, 2016-03-01 08:15:00, 15, bicycle riders, M, 0, 42, 0, 6, 2, 0, 0, 3, 0, 0, 3, 3
B-UpfieldAlbionSt, 2016-03-01 08:30:00, 15, bicycle riders, M, 3, 43, 0, 1, 2, 0, 0, 4, 0, 0, 5, 0
B-UpfieldAlbionSt, 2016-03-01 08:45:00, 15, bicycle riders, M, 0, 31, 0, 6, 0, 0, 0, 5, 0, 1, 3, 3
