B-UpfieldBrunswickRd-2014-03-04

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
B-UpfieldBrunswickRd, 2014-03-04 07:00:00, 15, bicycle riders, F, 0, 27, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0
B-UpfieldBrunswickRd, 2014-03-04 07:15:00, 15, bicycle riders, F, 0, 20, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0
B-UpfieldBrunswickRd, 2014-03-04 07:30:00, 15, bicycle riders, F, 1, 28, 0, 0, 0, 0, 0, 2, 0, 0, 2, 2
B-UpfieldBrunswickRd, 2014-03-04 07:45:00, 15, bicycle riders, F, 0, 55, 0, 0, 0, 1, 0, 3, 0, 0, 0, 0
B-UpfieldBrunswickRd, 2014-03-04 08:00:00, 15, bicycle riders, F, 0, 53, 0, 0, 0, 0, 0, 4, 0, 1, 3, 0
B-UpfieldBrunswickRd, 2014-03-04 08:15:00, 15, bicycle riders, F, 0, 90, 0, 0, 1, 0, 0, 1, 0, 1, 3, 2
B-UpfieldBrunswickRd, 2014-03-04 08:30:00, 15, bicycle riders, F, 1, 81, 0, 0, 0, 0, 0, 6, 0, 0, 3, 4
B-UpfieldBrunswickRd, 2014-03-04 08:45:00, 15, bicycle riders, F, 2, 48, 1, 0, 0, 0, 0, 9, 0, 0, 1, 6

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
B-UpfieldBrunswickRd, 2014-03-04 07:00:00, 15, bicycle riders, M, 2, 32, 0, 0, 0, 1, 0, 8, 0, 0, 2, 0
B-UpfieldBrunswickRd, 2014-03-04 07:15:00, 15, bicycle riders, M, 0, 29, 0, 0, 0, 0, 0, 3, 0, 2, 1, 0
B-UpfieldBrunswickRd, 2014-03-04 07:30:00, 15, bicycle riders, M, 0, 45, 0, 0, 0, 0, 0, 5, 1, 0, 3, 0
B-UpfieldBrunswickRd, 2014-03-04 07:45:00, 15, bicycle riders, M, 0, 77, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0
B-UpfieldBrunswickRd, 2014-03-04 08:00:00, 15, bicycle riders, M, 0, 71, 0, 3, 0, 0, 0, 12, 0, 0, 1, 0
B-UpfieldBrunswickRd, 2014-03-04 08:15:00, 15, bicycle riders, M, 8, 84, 0, 0, 0, 6, 3, 5, 0, 0, 7, 2
B-UpfieldBrunswickRd, 2014-03-04 08:30:00, 15, bicycle riders, M, 0, 75, 0, 0, 0, 15, 6, 3, 0, 0, 4, 0
B-UpfieldBrunswickRd, 2014-03-04 08:45:00, 15, bicycle riders, M, 0, 62, 0, 1, 0, 3, 4, 8, 0, 1, 6, 1
