B-UpfieldDawsonSt-2012-03-06

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
B-UpfieldDawsonSt, 2012-03-06 07:00:00, 15, bicycle riders, F, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
B-UpfieldDawsonSt, 2012-03-06 07:15:00, 15, bicycle riders, F, 0, 14, 0, 0, 1, 0, 0, 0, 0, 0, 3, 1
B-UpfieldDawsonSt, 2012-03-06 07:30:00, 15, bicycle riders, F, 1, 21, 0, 0, 1, 0, 0, 2, 0, 0, 1, 1
B-UpfieldDawsonSt, 2012-03-06 07:45:00, 15, bicycle riders, F, 0, 27, 1, 0, 1, 0, 0, 2, 0, 0, 1, 0
B-UpfieldDawsonSt, 2012-03-06 08:00:00, 15, bicycle riders, F, 0, 49, 0, 1, 1, 0, 0, 2, 0, 0, 2, 1
B-UpfieldDawsonSt, 2012-03-06 08:15:00, 15, bicycle riders, F, 0, 47, 3, 1, 1, 0, 0, 3, 0, 0, 2, 3
B-UpfieldDawsonSt, 2012-03-06 08:30:00, 15, bicycle riders, F, 0, 39, 4, 0, 4, 5, 0, 4, 0, 0, 2, 0
B-UpfieldDawsonSt, 2012-03-06 08:45:00, 15, bicycle riders, F, 1, 29, 2, 0, 4, 0, 0, 4, 0, 0, 2, 0

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
B-UpfieldDawsonSt, 2012-03-06 07:00:00, 15, bicycle riders, M, 0, 23, 0, 1, 2, 0, 0, 2, 0, 0, 3, 1
B-UpfieldDawsonSt, 2012-03-06 07:15:00, 15, bicycle riders, M, 0, 35, 0, 2, 1, 0, 0, 2, 2, 0, 3, 0
B-UpfieldDawsonSt, 2012-03-06 07:30:00, 15, bicycle riders, M, 0, 36, 0, 0, 3, 1, 0, 0, 0, 0, 5, 2
B-UpfieldDawsonSt, 2012-03-06 07:45:00, 15, bicycle riders, M, 0, 47, 2, 3, 4, 0, 0, 1, 0, 0, 7, 1
B-UpfieldDawsonSt, 2012-03-06 08:00:00, 15, bicycle riders, M, 0, 60, 2, 0, 1, 0, 0, 6, 0, 0, 6, 4
B-UpfieldDawsonSt, 2012-03-06 08:15:00, 15, bicycle riders, M, 1, 56, 6, 5, 0, 0, 2, 2, 0, 0, 2, 2
B-UpfieldDawsonSt, 2012-03-06 08:30:00, 15, bicycle riders, M, 1, 39, 6, 0, 5, 1, 0, 5, 0, 0, 2, 2
B-UpfieldDawsonSt, 2012-03-06 08:45:00, 15, bicycle riders, M, 0, 43, 6, 0, 1, 3, 0, 1, 1, 0, 4, 0
