countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
B-UpfieldParkSt, 2011-03-29 07:00:00, 15, bicycle riders, F, 0, 1, 0, 7, 10, 0, 0, 1, 0, 0, 6, 0
B-UpfieldParkSt, 2011-03-29 07:15:00, 15, bicycle riders, F, 12, 7, 0, 0, 3, 0, 0, 2, 0, 0, 3, 0
B-UpfieldParkSt, 2011-03-29 07:30:00, 15, bicycle riders, F, 13, 10, 0, 0, 0, 4, 0, 1, 0, 0, 4, 1
B-UpfieldParkSt, 2011-03-29 07:45:00, 15, bicycle riders, F, 24, 26, 0, 0, 1, 5, 0, 3, 0, 0, 5, 2
B-UpfieldParkSt, 2011-03-29 08:00:00, 15, bicycle riders, F, 20, 17, 0, 2, 4, 3, 0, 1, 0, 0, 2, 1
B-UpfieldParkSt, 2011-03-29 08:15:00, 15, bicycle riders, F, 27, 28, 0, 0, 1, 0, 0, 0, 0, 0, 5, 6
B-UpfieldParkSt, 2011-03-29 08:30:00, 15, bicycle riders, F, 22, 19, 0, 0, 0, 0, 0, 2, 0, 0, 2, 1
B-UpfieldParkSt, 2011-03-29 08:45:00, 15, bicycle riders, F, 35, 18, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0
B-UpfieldParkSt, 2011-03-29 07:00:00, 15, bicycle riders, M, 0, 3, 0, 10, 25, 0, 0, 3, 0, 0, 12, 0
B-UpfieldParkSt, 2011-03-29 07:15:00, 15, bicycle riders, M, 9, 10, 0, 2, 6, 2, 0, 1, 0, 0, 12, 0
B-UpfieldParkSt, 2011-03-29 07:30:00, 15, bicycle riders, M, 25, 20, 0, 0, 2, 0, 0, 0, 0, 1, 5, 3
B-UpfieldParkSt, 2011-03-29 07:45:00, 15, bicycle riders, M, 21, 17, 0, 2, 0, 3, 0, 5, 0, 0, 5, 0
B-UpfieldParkSt, 2011-03-29 08:00:00, 15, bicycle riders, M, 34, 24, 1, 0, 5, 3, 0, 1, 0, 0, 5, 3
B-UpfieldParkSt, 2011-03-29 08:15:00, 15, bicycle riders, M, 33, 20, 0, 0, 1, 1, 0, 0, 0, 0, 4, 8
B-UpfieldParkSt, 2011-03-29 08:30:00, 15, bicycle riders, M, 22, 20, 0, 0, 0, 0, 0, 2, 0, 0, 4, 2
B-UpfieldParkSt, 2011-03-29 08:45:00, 15, bicycle riders, M, 22, 10, 0, 0, 0, 1, 0, 0, 0, 0, 5, 3
