B-UpfieldParkSt-2013-03-21

countsite, site_description, suburb, dist_from_cbd, easting, northing, melway_ref, primary_road, secondary_road
B-UpfieldParkSt,Upfield Shared Path and Park St,Brunswick,4.5,320186.38,5816875.04,29 G10,Upfield Shared Path,Park St

countsite, count_date, bin_duration, counting, gender_split, counter
B-UpfieldParkSt,2013-03-21,15,bicycle riders,Y,


countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
B-UpfieldParkSt,2013-03-21 07:00:00,15,bicycle riders,F,5,1,1,0,1,0,1,1,0,0,1,0
B-UpfieldParkSt,2013-03-21 07:15:00,15,bicycle riders,F,4,7,1,0,1,1,0,1,0,1,1,0
B-UpfieldParkSt,2013-03-21 07:30:00,15,bicycle riders,F,7,17,1,0,0,1,0,0,0,1,4,0
B-UpfieldParkSt,2013-03-21 07:45:00,15,bicycle riders,F,17,19,0,0,0,3,0,1,0,0,1,0
B-UpfieldParkSt,2013-03-21 08:00:00,15,bicycle riders,F,10,29,1,0,0,1,0,1,0,1,5,0
B-UpfieldParkSt,2013-03-21 08:15:00,15,bicycle riders,F,18,35,0,0,0,0,0,1,0,0,1,1
B-UpfieldParkSt,2013-03-21 08:30:00,15,bicycle riders,F,13,21,0,1,1,1,0,1,0,1,5,1
B-UpfieldParkSt,2013-03-21 08:45:00,15,bicycle riders,F,10,19,0,1,1,1,0,1,0,1,1,1

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
B-UpfieldParkSt,2013-03-21 07:00:00,15,bicycle riders,M,9,3,0,1,0,1,1,1,1,0,1,1
B-UpfieldParkSt,2013-03-21 07:15:00,15,bicycle riders,M,8,5,0,0,1,1,0,1,0,0,1,0
B-UpfieldParkSt,2013-03-21 07:30:00,15,bicycle riders,M,18,10,0,0,1,1,1,3,0,1,3,0
B-UpfieldParkSt,2013-03-21 07:45:00,15,bicycle riders,M,38,24,1,0,1,3,1,1,0,0,1,1
B-UpfieldParkSt,2013-03-21 08:00:00,15,bicycle riders,M,30,21,0,0,4,0,0,6,0,1,3,1
B-UpfieldParkSt,2013-03-21 08:15:00,15,bicycle riders,M,28,17,0,0,3,1,0,0,0,0,4,2
B-UpfieldParkSt,2013-03-21 08:30:00,15,bicycle riders,M,31,21,0,0,1,3,0,1,0,1,4,3
B-UpfieldParkSt,2013-03-21 08:45:00,15,bicycle riders,M,42,11,0,0,3,1,0,2,0,1,3,2
