B-UpfieldVictoriaSt-2014-03-04

countsite, site_description, suburb, dist_from_cbd, easting, northing, melway_ref, primary_road, secondary_road
B-UpfieldVictoriaSt, Upfield Shared Path and Victoria Street, Brunswick, 5.8, 320304.04, 5818102.21, 29 H5, Upfield Shared Path, Victoria St

countsite, count_date, bin_duration, counting, gender_split, counter
B-UpfieldVictoriaSt, 2014-03-04, 15, bicycle riders, Y, 


countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
B-UpfieldVictoriaSt, 2014-03-04 07:00:00, 15, bicycle riders, F, 0, 11, 0, 1, 0, 0, 1, 2, 0, 1, 0, 1
B-UpfieldVictoriaSt, 2014-03-04 07:15:00, 15, bicycle riders, F, 1, 21, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1
B-UpfieldVictoriaSt, 2014-03-04 07:30:00, 15, bicycle riders, F, 0, 22, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1
B-UpfieldVictoriaSt, 2014-03-04 07:45:00, 15, bicycle riders, F, 0, 37, 0, 2, 1, 0, 0, 0, 1, 0, 2, 1
B-UpfieldVictoriaSt, 2014-03-04 08:00:00, 15, bicycle riders, F, 2, 44, 1, 0, 0, 0, 0, 0, 0, 2, 5, 4
B-UpfieldVictoriaSt, 2014-03-04 08:15:00, 15, bicycle riders, F, 0, 59, 0, 1, 0, 0, 0, 0, 1, 0, 6, 7
B-UpfieldVictoriaSt, 2014-03-04 08:30:00, 15, bicycle riders, F, 1, 43, 0, 2, 1, 0, 2, 2, 1, 0, 3, 2
B-UpfieldVictoriaSt, 2014-03-04 08:45:00, 15, bicycle riders, F, 0, 34, 0, 0, 3, 0, 0, 1, 0, 0, 0, 3

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
B-UpfieldVictoriaSt, 2014-03-04 07:00:00, 15, bicycle riders, M, 0, 14, 0, 0, 0, 0, 1, 4, 0, 2, 4, 1
B-UpfieldVictoriaSt, 2014-03-04 07:15:00, 15, bicycle riders, M, 0, 24, 0, 2, 1, 0, 0, 2, 0, 1, 6, 3
B-UpfieldVictoriaSt, 2014-03-04 07:30:00, 15, bicycle riders, M, 0, 36, 0, 1, 2, 0, 0, 5, 0, 3, 2, 2
B-UpfieldVictoriaSt, 2014-03-04 07:45:00, 15, bicycle riders, M, 0, 52, 0, 1, 1, 1, 0, 2, 2, 1, 3, 2
B-UpfieldVictoriaSt, 2014-03-04 08:00:00, 15, bicycle riders, M, 0, 60, 0, 1, 2, 1, 1, 8, 0, 2, 10, 10
B-UpfieldVictoriaSt, 2014-03-04 08:15:00, 15, bicycle riders, M, 0, 62, 0, 3, 0, 1, 0, 4, 2, 3, 13, 4
B-UpfieldVictoriaSt, 2014-03-04 08:30:00, 15, bicycle riders, M, 0, 47, 1, 1, 1, 2, 1, 0, 1, 0, 5, 5
B-UpfieldVictoriaSt, 2014-03-04 08:45:00, 15, bicycle riders, M, 1, 41, 0, 1, 2, 1, 0, 2, 1, 0, 4, 4
