B-UpfieldVictoriaSt-2017-03-07

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
B-UpfieldVictoriaSt, 2017-03-07 07:00:00, 15, bicycle riders, F, 3, 18, 1, 0, 1, 0, 0, 3, 1, 0, 3, 0
B-UpfieldVictoriaSt, 2017-03-07 07:15:00, 15, bicycle riders, F, 0, 24, 0, 1, 0, 2, 0, 3, 0, 0, 1, 1
B-UpfieldVictoriaSt, 2017-03-07 07:30:00, 15, bicycle riders, F, 0, 26, 0, 0, 1, 0, 0, 1, 0, 0, 1, 5
B-UpfieldVictoriaSt, 2017-03-07 07:45:00, 15, bicycle riders, F, 1, 41, 0, 2, 1, 0, 0, 5, 0, 1, 1, 5
B-UpfieldVictoriaSt, 2017-03-07 08:00:00, 15, bicycle riders, F, 0, 52, 1, 1, 0, 0, 0, 3, 0, 1, 1, 8
B-UpfieldVictoriaSt, 2017-03-07 08:15:00, 15, bicycle riders, F, 1, 55, 0, 0, 1, 0, 0, 5, 0, 0, 3, 8
B-UpfieldVictoriaSt, 2017-03-07 08:30:00, 15, bicycle riders, F, 0, 61, 1, 2, 2, 1, 0, 2, 1, 0, 4, 5
B-UpfieldVictoriaSt, 2017-03-07 08:45:00, 15, bicycle riders, F, 0, 29, 0, 2, 1, 0, 0, 2, 0, 0, 1, 5

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
B-UpfieldVictoriaSt, 2017-03-07 07:00:00, 15, bicycle riders, M, 2, 23, 1, 0, 2, 0, 0, 6, 2, 1, 3, 3
B-UpfieldVictoriaSt, 2017-03-07 07:15:00, 15, bicycle riders, M, 0, 25, 0, 1, 0, 2, 0, 0, 0, 1, 4, 2
B-UpfieldVictoriaSt, 2017-03-07 07:30:00, 15, bicycle riders, M, 0, 44, 0, 1, 3, 0, 0, 3, 1, 0, 0, 2
B-UpfieldVictoriaSt, 2017-03-07 07:45:00, 15, bicycle riders, M, 2, 53, 1, 3, 1, 0, 1, 2, 1, 0, 3, 7
B-UpfieldVictoriaSt, 2017-03-07 08:00:00, 15, bicycle riders, M, 2, 75, 0, 1, 3, 0, 2, 4, 1, 0, 7, 5
B-UpfieldVictoriaSt, 2017-03-07 08:15:00, 15, bicycle riders, M, 0, 99, 1, 2, 2, 1, 0, 5, 0, 1, 8, 10
B-UpfieldVictoriaSt, 2017-03-07 08:30:00, 15, bicycle riders, M, 0, 64, 0, 0, 1, 0, 0, 3, 0, 1, 5, 6
B-UpfieldVictoriaSt, 2017-03-07 08:45:00, 15, bicycle riders, M, 1, 38, 0, 3, 1, 0, 2, 3, 0, 0, 6, 4
