BE-CanningBrunswick-2017-03-07

countsite, site_description, suburb, dist_from_cbd, easting, northing, melway_ref, primary_road, secondary_road
BE-CanningBrunswick,Canning Street x Brunswick Rd Brunswick East,Brunswick East,4.9,,,30 A10,East Brunswick Shimmy,Brunswick Road

countsite, count_date, bin_duration, counting, gender_split, counter
BE-CanningBrunswick,2017-03-07,15,bicycle riders,Y,Neil Staton


countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
BE-CanningBrunswick,2017-03-07 07:00:00,15,bicycle riders,F,0,3,0,0,0,0,0,0,0,0,1,0
BE-CanningBrunswick,2017-03-07 07:15:00,15,bicycle riders,F,0,3,0,0,1,0,0,0,0,0,1,0
BE-CanningBrunswick,2017-03-07 07:30:00,15,bicycle riders,F,0,4,0,0,0,0,0,0,0,0,0,0
BE-CanningBrunswick,2017-03-07 07:45:00,15,bicycle riders,F,0,4,0,1,0,0,0,0,1,0,0,1
BE-CanningBrunswick,2017-03-07 08:00:00,15,bicycle riders,F,0,9,0,3,1,0,0,0,0,0,2,0
BE-CanningBrunswick,2017-03-07 08:15:00,15,bicycle riders,F,0,7,0,1,0,0,0,0,0,0,0,0
BE-CanningBrunswick,2017-03-07 08:30:00,15,bicycle riders,F,0,14,0,2,0,0,0,1,0,0,0,0
BE-CanningBrunswick,2017-03-07 08:45:00,15,bicycle riders,F,0,11,0,0,2,0,0,0,0,0,1,0

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
BE-CanningBrunswick,2017-03-07 07:00:00,15,bicycle riders,M,0,2,0,0,1,0,0,1,0,0,0,0
BE-CanningBrunswick,2017-03-07 07:15:00,15,bicycle riders,M,0,3,0,0,1,0,0,2,0,0,0,1
BE-CanningBrunswick,2017-03-07 07:30:00,15,bicycle riders,M,0,8,0,0,4,0,0,0,0,0,1,0
BE-CanningBrunswick,2017-03-07 07:45:00,15,bicycle riders,M,0,8,0,3,1,0,0,2,0,0,0,0
BE-CanningBrunswick,2017-03-07 08:00:00,15,bicycle riders,M,0,16,0,2,5,0,0,0,0,0,2,0
BE-CanningBrunswick,2017-03-07 08:15:00,15,bicycle riders,M,0,15,0,2,1,0,0,1,0,0,2,3
BE-CanningBrunswick,2017-03-07 08:30:00,15,bicycle riders,M,0,21,0,0,5,0,0,1,0,0,2,1
BE-CanningBrunswick,2017-03-07 08:45:00,15,bicycle riders,M,0,13,0,4,0,0,0,0,0,0,1,0
