BE-JohnStGlenlyonRd-2013-03-05

countsite, site_description, suburb, dist_from_cbd, easting, northing, melway_ref, primary_road, secondary_road
BE-JohnStGlenlyonRd,John St (East Brunswick Shimmy) and Glenlyon Rd,Brunswick East,5.4,321802.54,5817418.14,30 A9,East Brunswick Shimmy,Glenlyon - Dawson

countsite, count_date, bin_duration, counting, gender_split, counter
BE-JohnStGlenlyonRd,2013-03-05,15,bicycle riders,Y,


countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
BE-JohnStGlenlyonRd,2013-03-05 07:00:00,15,bicycle riders,F,0,3,0,0,0,0,0,0,0,0,1,1
BE-JohnStGlenlyonRd,2013-03-05 07:15:00,15,bicycle riders,F,0,4,1,0,0,0,0,0,0,0,1,0
BE-JohnStGlenlyonRd,2013-03-05 07:30:00,15,bicycle riders,F,0,7,0,0,1,0,0,0,0,0,0,1
BE-JohnStGlenlyonRd,2013-03-05 07:45:00,15,bicycle riders,F,0,11,1,0,0,1,0,0,0,1,0,1
BE-JohnStGlenlyonRd,2013-03-05 08:00:00,15,bicycle riders,F,0,16,0,0,2,0,0,0,0,0,3,0
BE-JohnStGlenlyonRd,2013-03-05 08:15:00,15,bicycle riders,F,2,12,0,1,0,0,0,0,0,0,3,4
BE-JohnStGlenlyonRd,2013-03-05 08:30:00,15,bicycle riders,F,1,26,0,2,1,0,0,0,0,0,4,5
BE-JohnStGlenlyonRd,2013-03-05 08:45:00,15,bicycle riders,F,0,11,0,0,3,0,1,4,0,0,4,1

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
BE-JohnStGlenlyonRd,2013-03-05 07:00:00,15,bicycle riders,M,0,4,0,1,6,0,0,0,0,0,2,0
BE-JohnStGlenlyonRd,2013-03-05 07:15:00,15,bicycle riders,M,0,4,0,0,5,1,0,1,0,0,2,1
BE-JohnStGlenlyonRd,2013-03-05 07:30:00,15,bicycle riders,M,0,8,0,1,1,0,0,1,0,0,3,1
BE-JohnStGlenlyonRd,2013-03-05 07:45:00,15,bicycle riders,M,0,7,0,1,0,0,2,0,0,1,1,4
BE-JohnStGlenlyonRd,2013-03-05 08:00:00,15,bicycle riders,M,0,18,0,0,1,0,0,2,1,0,4,2
BE-JohnStGlenlyonRd,2013-03-05 08:15:00,15,bicycle riders,M,1,17,0,0,0,0,0,0,0,0,5,4
BE-JohnStGlenlyonRd,2013-03-05 08:30:00,15,bicycle riders,M,0,16,0,1,2,0,0,0,0,0,5,7
BE-JohnStGlenlyonRd,2013-03-05 08:45:00,15,bicycle riders,M,0,18,0,0,3,0,1,1,0,0,7,4
