BE-LygonStBlythSt-2013-03-05

countsite, site_description, suburb, dist_from_cbd, easting, northing, melway_ref, primary_road, secondary_road
BE-LygonStBlythSt,Lygon St and Blyth St,Brunswick East,6.7,321426.84,5818149.75,29 K7,Lygon  - Holmes - Nicholson,Blyth St

countsite, count_date, bin_duration, counting, gender_split, counter
BE-LygonStBlythSt,2013-03-05,15,bicycle riders,Y,


countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
BE-LygonStBlythSt,2013-03-05 07:00:00,15,bicycle riders,F,0,1,0,0,0,0,0,1,0,0,1,0
BE-LygonStBlythSt,2013-03-05 07:15:00,15,bicycle riders,F,0,3,0,0,0,0,0,1,0,0,2,0
BE-LygonStBlythSt,2013-03-05 07:30:00,15,bicycle riders,F,0,2,0,0,0,0,0,1,0,0,2,0
BE-LygonStBlythSt,2013-03-05 07:45:00,15,bicycle riders,F,0,3,1,0,1,0,1,0,0,1,3,1
BE-LygonStBlythSt,2013-03-05 08:00:00,15,bicycle riders,F,0,4,0,2,0,0,0,0,1,0,3,1
BE-LygonStBlythSt,2013-03-05 08:15:00,15,bicycle riders,F,0,3,0,0,0,0,0,3,0,0,2,4
BE-LygonStBlythSt,2013-03-05 08:30:00,15,bicycle riders,F,0,6,0,0,2,0,0,4,0,0,1,0
BE-LygonStBlythSt,2013-03-05 08:45:00,15,bicycle riders,F,0,1,0,0,3,0,0,0,1,0,1,1

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
BE-LygonStBlythSt,2013-03-05 07:00:00,15,bicycle riders,M,0,1,0,0,1,0,1,0,0,0,0,0
BE-LygonStBlythSt,2013-03-05 07:15:00,15,bicycle riders,M,0,1,0,0,2,0,0,0,0,0,1,0
BE-LygonStBlythSt,2013-03-05 07:30:00,15,bicycle riders,M,0,7,0,1,4,0,0,1,1,0,3,2
BE-LygonStBlythSt,2013-03-05 07:45:00,15,bicycle riders,M,1,10,2,0,2,0,0,1,0,1,3,0
BE-LygonStBlythSt,2013-03-05 08:00:00,15,bicycle riders,M,0,8,0,1,1,0,1,3,0,0,2,0
BE-LygonStBlythSt,2013-03-05 08:15:00,15,bicycle riders,M,0,16,0,2,2,0,1,1,0,0,1,2
BE-LygonStBlythSt,2013-03-05 08:30:00,15,bicycle riders,M,0,13,0,1,1,0,0,7,0,0,4,1
BE-LygonStBlythSt,2013-03-05 08:45:00,15,bicycle riders,M,0,6,1,0,2,0,1,0,0,0,2,2
