BE-LygonStBrunswickRd-2010-03-02

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
BE-LygonStBrunswickRd, 2010-03-02 07:00:00, 15, bicycle riders, F, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
BE-LygonStBrunswickRd, 2010-03-02 07:15:00, 15, bicycle riders, F, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0
BE-LygonStBrunswickRd, 2010-03-02 07:30:00, 15, bicycle riders, F, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
BE-LygonStBrunswickRd, 2010-03-02 07:45:00, 15, bicycle riders, F, 0, 12, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0
BE-LygonStBrunswickRd, 2010-03-02 08:00:00, 15, bicycle riders, F, 0, 10, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
BE-LygonStBrunswickRd, 2010-03-02 08:15:00, 15, bicycle riders, F, 0, 16, 0, 2, 1, 0, 0, 1, 0, 0, 0, 1
BE-LygonStBrunswickRd, 2010-03-02 08:30:00, 15, bicycle riders, F, 0, 16, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0
BE-LygonStBrunswickRd, 2010-03-02 08:45:00, 15, bicycle riders, F, 1, 13, 0, 2, 0, 1, 0, 1, 0, 0, 4, 4

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
BE-LygonStBrunswickRd, 2010-03-02 07:00:00, 15, bicycle riders, M, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
BE-LygonStBrunswickRd, 2010-03-02 07:15:00, 15, bicycle riders, M, 0, 10, 0, 2, 2, 0, 0, 1, 0, 0, 0, 1
BE-LygonStBrunswickRd, 2010-03-02 07:30:00, 15, bicycle riders, M, 1, 10, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0
BE-LygonStBrunswickRd, 2010-03-02 07:45:00, 15, bicycle riders, M, 0, 8, 1, 1, 2, 0, 1, 0, 0, 0, 1, 0
BE-LygonStBrunswickRd, 2010-03-02 08:00:00, 15, bicycle riders, M, 0, 12, 1, 3, 1, 1, 0, 2, 0, 0, 1, 2
BE-LygonStBrunswickRd, 2010-03-02 08:15:00, 15, bicycle riders, M, 0, 22, 0, 2, 2, 0, 0, 1, 0, 0, 2, 0
BE-LygonStBrunswickRd, 2010-03-02 08:30:00, 15, bicycle riders, M, 4, 17, 0, 1, 5, 0, 0, 2, 1, 0, 2, 4
BE-LygonStBrunswickRd, 2010-03-02 08:45:00, 15, bicycle riders, M, 1, 23, 2, 2, 0, 1, 0, 1, 0, 0, 0, 2
