BE-LygonStGlenlyonRd-2010-03-02

countsite, site_description, suburb, dist_from_cbd, easting, northing, melway_ref, primary_road, secondary_road
BE-LygonStGlenlyonRd,Lygon St and Glenlyon Rd,Brunswick East,6.0,321344.6,5817471.7,29 K9,Lygon  - Holmes - Nicholson,Glenlyon - Dawson

countsite, count_date, bin_duration, counting, gender_split, counter
BE-LygonStGlenlyonRd,2010-03-02,15,bicycle riders,Y,


countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
BE-LygonStGlenlyonRd,2010-03-02 07:00:00,15,bicycle riders,F,0,2,0,0,0,0,0,0,0,0,0,1
BE-LygonStGlenlyonRd,2010-03-02 07:15:00,15,bicycle riders,F,1,2,0,0,0,0,0,0,0,0,0,0
BE-LygonStGlenlyonRd,2010-03-02 07:30:00,15,bicycle riders,F,0,6,0,0,2,0,0,0,0,0,1,1
BE-LygonStGlenlyonRd,2010-03-02 07:45:00,15,bicycle riders,F,0,6,0,1,2,0,0,0,0,0,1,1
BE-LygonStGlenlyonRd,2010-03-02 08:00:00,15,bicycle riders,F,0,7,1,0,1,0,0,1,0,0,2,1
BE-LygonStGlenlyonRd,2010-03-02 08:15:00,15,bicycle riders,F,0,8,2,0,6,0,0,1,0,0,4,0
BE-LygonStGlenlyonRd,2010-03-02 08:30:00,15,bicycle riders,F,0,6,0,0,2,1,1,1,0,0,2,0
BE-LygonStGlenlyonRd,2010-03-02 08:45:00,15,bicycle riders,F,0,7,0,1,5,0,0,0,1,0,4,0

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
BE-LygonStGlenlyonRd,2010-03-02 07:00:00,15,bicycle riders,M,0,2,0,0,4,0,0,0,0,0,1,1
BE-LygonStGlenlyonRd,2010-03-02 07:15:00,15,bicycle riders,M,1,10,0,0,4,0,0,1,0,0,8,1
BE-LygonStGlenlyonRd,2010-03-02 07:30:00,15,bicycle riders,M,0,7,1,0,1,1,1,0,0,0,2,1
BE-LygonStGlenlyonRd,2010-03-02 07:45:00,15,bicycle riders,M,1,9,2,0,2,0,0,0,0,0,4,0
BE-LygonStGlenlyonRd,2010-03-02 08:00:00,15,bicycle riders,M,0,12,0,0,1,0,2,1,1,0,3,0
BE-LygonStGlenlyonRd,2010-03-02 08:15:00,15,bicycle riders,M,0,20,0,1,4,2,1,1,0,1,6,1
BE-LygonStGlenlyonRd,2010-03-02 08:30:00,15,bicycle riders,M,0,13,0,0,5,1,0,1,1,0,5,2
BE-LygonStGlenlyonRd,2010-03-02 08:45:00,15,bicycle riders,M,0,19,1,1,3,0,0,0,0,0,3,0
