BE-LygonStGlenlyonRd-2012-03-06

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
BE-LygonStGlenlyonRd, 2012-03-06 07:00:00, 15, bicycle riders, F, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
BE-LygonStGlenlyonRd, 2012-03-06 07:15:00, 15, bicycle riders, F, 0, 3, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0
BE-LygonStGlenlyonRd, 2012-03-06 07:30:00, 15, bicycle riders, F, 1, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 3
BE-LygonStGlenlyonRd, 2012-03-06 07:45:00, 15, bicycle riders, F, 0, 6, 0, 0, 2, 0, 0, 1, 0, 0, 2, 0
BE-LygonStGlenlyonRd, 2012-03-06 08:00:00, 15, bicycle riders, F, 1, 7, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1
BE-LygonStGlenlyonRd, 2012-03-06 08:15:00, 15, bicycle riders, F, 0, 7, 3, 0, 0, 0, 1, 0, 0, 0, 1, 0
BE-LygonStGlenlyonRd, 2012-03-06 08:30:00, 15, bicycle riders, F, 0, 7, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0
BE-LygonStGlenlyonRd, 2012-03-06 08:45:00, 15, bicycle riders, F, 0, 3, 0, 0, 1, 0, 1, 0, 0, 0, 1, 3

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
BE-LygonStGlenlyonRd, 2012-03-06 07:00:00, 15, bicycle riders, M, 0, 4, 0, 0, 0, 0, 1, 0, 1, 0, 1, 2
BE-LygonStGlenlyonRd, 2012-03-06 07:15:00, 15, bicycle riders, M, 0, 7, 0, 0, 1, 0, 0, 1, 0, 0, 4, 1
BE-LygonStGlenlyonRd, 2012-03-06 07:30:00, 15, bicycle riders, M, 1, 9, 3, 0, 5, 0, 0, 0, 0, 0, 2, 0
BE-LygonStGlenlyonRd, 2012-03-06 07:45:00, 15, bicycle riders, M, 0, 9, 0, 0, 3, 0, 0, 2, 0, 0, 3, 0
BE-LygonStGlenlyonRd, 2012-03-06 08:00:00, 15, bicycle riders, M, 1, 11, 2, 0, 2, 0, 1, 2, 0, 0, 4, 0
BE-LygonStGlenlyonRd, 2012-03-06 08:15:00, 15, bicycle riders, M, 0, 10, 1, 0, 4, 0, 0, 4, 0, 0, 5, 3
BE-LygonStGlenlyonRd, 2012-03-06 08:30:00, 15, bicycle riders, M, 0, 15, 2, 0, 2, 0, 0, 2, 0, 0, 4, 1
BE-LygonStGlenlyonRd, 2012-03-06 08:45:00, 15, bicycle riders, M, 0, 11, 2, 0, 7, 0, 0, 3, 0, 0, 3, 2
