BE-LygonStGlenlyonRd-2016-03-01

countsite, site_description, suburb, dist_from_cbd, easting, northing, melway_ref, primary_road, secondary_road
BE-LygonStGlenlyonRd,Lygon St and Glenlyon Rd,Brunswick East,6.0,321344.6,5817471.7,29 K9,Lygon  - Holmes - Nicholson,Glenlyon - Dawson

countsite, count_date, bin_duration, counting, gender_split, counter
BE-LygonStGlenlyonRd,2016-03-01,15,bicycle riders,Y,John Gibbons & James Cunningham 


countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
BE-LygonStGlenlyonRd,2016-03-01 07:00:00,15,bicycle riders,F,0,3,0,0,0,0,0,0,0,0,0,0
BE-LygonStGlenlyonRd,2016-03-01 07:15:00,15,bicycle riders,F,0,1,0,0,3,0,0,0,0,0,1,2
BE-LygonStGlenlyonRd,2016-03-01 07:30:00,15,bicycle riders,F,0,4,0,0,2,0,0,0,0,0,1,1
BE-LygonStGlenlyonRd,2016-03-01 07:45:00,15,bicycle riders,F,0,3,2,2,2,0,0,0,0,0,0,1
BE-LygonStGlenlyonRd,2016-03-01 08:00:00,15,bicycle riders,F,1,7,2,0,4,0,0,2,0,0,1,0
BE-LygonStGlenlyonRd,2016-03-01 08:15:00,15,bicycle riders,F,1,8,1,0,11,0,0,2,0,0,5,1
BE-LygonStGlenlyonRd,2016-03-01 08:30:00,15,bicycle riders,F,1,16,3,1,2,0,0,0,0,0,3,1
BE-LygonStGlenlyonRd,2016-03-01 08:45:00,15,bicycle riders,F,0,11,2,0,0,0,0,1,0,0,3,0

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
BE-LygonStGlenlyonRd,2016-03-01 07:00:00,15,bicycle riders,M,0,3,0,0,2,0,0,0,0,1,5,1
BE-LygonStGlenlyonRd,2016-03-01 07:15:00,15,bicycle riders,M,0,12,1,0,0,0,0,1,0,0,0,0
BE-LygonStGlenlyonRd,2016-03-01 07:30:00,15,bicycle riders,M,1,14,1,0,1,0,0,2,0,0,2,1
BE-LygonStGlenlyonRd,2016-03-01 07:45:00,15,bicycle riders,M,2,15,3,0,3,0,1,3,0,0,2,0
BE-LygonStGlenlyonRd,2016-03-01 08:00:00,15,bicycle riders,M,0,11,1,0,5,0,1,1,0,1,7,2
BE-LygonStGlenlyonRd,2016-03-01 08:15:00,15,bicycle riders,M,0,17,1,1,6,0,1,1,0,0,2,5
BE-LygonStGlenlyonRd,2016-03-01 08:30:00,15,bicycle riders,M,2,23,3,0,0,0,2,0,0,0,2,1
BE-LygonStGlenlyonRd,2016-03-01 08:45:00,15,bicycle riders,M,0,14,0,0,11,0,0,4,0,0,2,0
