countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
BE-MerriCrkBlythSt, 2014-03-04 07:00:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
BE-MerriCrkBlythSt, 2014-03-04 07:15:00, 15, bicycle riders, F, 0, 3, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0
BE-MerriCrkBlythSt, 2014-03-04 07:30:00, 15, bicycle riders, F, 0, 3, 0, 1, 0, 0, 1, 1, 0, 0, 3, 0
BE-MerriCrkBlythSt, 2014-03-04 07:45:00, 15, bicycle riders, F, 0, 6, 0, 0, 3, 1, 0, 1, 0, 0, 1, 0
BE-MerriCrkBlythSt, 2014-03-04 08:00:00, 15, bicycle riders, F, 0, 2, 0, 0, 1, 4, 0, 1, 0, 0, 6, 0
BE-MerriCrkBlythSt, 2014-03-04 08:15:00, 15, bicycle riders, F, 0, 12, 0, 2, 2, 1, 0, 1, 0, 0, 1, 2
BE-MerriCrkBlythSt, 2014-03-04 08:30:00, 15, bicycle riders, F, 0, 4, 0, 0, 8, 3, 0, 1, 0, 1, 3, 0
BE-MerriCrkBlythSt, 2014-03-04 08:45:00, 15, bicycle riders, F, 0, 6, 0, 3, 0, 1, 0, 3, 0, 0, 3, 1
BE-MerriCrkBlythSt, 2014-03-04 07:00:00, 15, bicycle riders, M, 0, 6, 0, 0, 3, 0, 0, 4, 0, 0, 3, 0
BE-MerriCrkBlythSt, 2014-03-04 07:15:00, 15, bicycle riders, M, 0, 8, 0, 2, 2, 0, 0, 2, 0, 0, 2, 0
BE-MerriCrkBlythSt, 2014-03-04 07:30:00, 15, bicycle riders, M, 0, 5, 0, 1, 10, 0, 0, 4, 0, 0, 6, 2
BE-MerriCrkBlythSt, 2014-03-04 07:45:00, 15, bicycle riders, M, 0, 9, 0, 0, 16, 1, 0, 1, 1, 0, 6, 0
BE-MerriCrkBlythSt, 2014-03-04 08:00:00, 15, bicycle riders, M, 0, 9, 0, 0, 9, 2, 0, 1, 0, 0, 3, 0
BE-MerriCrkBlythSt, 2014-03-04 08:15:00, 15, bicycle riders, M, 2, 24, 0, 3, 9, 3, 0, 1, 0, 1, 1, 0
BE-MerriCrkBlythSt, 2014-03-04 08:30:00, 15, bicycle riders, M, 0, 20, 0, 0, 10, 3, 0, 1, 0, 1, 7, 3
BE-MerriCrkBlythSt, 2014-03-04 08:45:00, 15, bicycle riders, M, 0, 14, 1, 3, 4, 4, 0, 2, 0, 1, 5, 0
