BE-NicholsonStBrunswickRd-2012-03-06

countsite, site_description, suburb, dist_from_cbd, easting, northing, melway_ref, primary_road, secondary_road
BE-NicholsonStBrunswickRd, Nicholson St and Brunswick Rd / Holden St, Brunswick East, 5.0, 321954.67, 5816773.69, 30 A11, Nicholson St, Brunswick Rd

countsite, count_date, bin_duration, counting, gender_split, counter
BE-NicholsonStBrunswickRd, 2012-03-06, 15, bicycle riders, Y, 


countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
BE-NicholsonStBrunswickRd, 2012-03-06 07:00:00, 15, bicycle riders, F, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0
BE-NicholsonStBrunswickRd, 2012-03-06 07:15:00, 15, bicycle riders, F, 0, 4, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0
BE-NicholsonStBrunswickRd, 2012-03-06 07:30:00, 15, bicycle riders, F, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0
BE-NicholsonStBrunswickRd, 2012-03-06 07:45:00, 15, bicycle riders, F, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1
BE-NicholsonStBrunswickRd, 2012-03-06 08:00:00, 15, bicycle riders, F, 0, 7, 0, 0, 2, 0, 0, 1, 0, 0, 0, 1
BE-NicholsonStBrunswickRd, 2012-03-06 08:15:00, 15, bicycle riders, F, 0, 9, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0
BE-NicholsonStBrunswickRd, 2012-03-06 08:30:00, 15, bicycle riders, F, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
BE-NicholsonStBrunswickRd, 2012-03-06 08:45:00, 15, bicycle riders, F, 0, 5, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
BE-NicholsonStBrunswickRd, 2012-03-06 07:00:00, 15, bicycle riders, M, 0, 4, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0
BE-NicholsonStBrunswickRd, 2012-03-06 07:15:00, 15, bicycle riders, M, 0, 4, 2, 1, 2, 0, 0, 0, 0, 0, 0, 0
BE-NicholsonStBrunswickRd, 2012-03-06 07:30:00, 15, bicycle riders, M, 0, 6, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0
BE-NicholsonStBrunswickRd, 2012-03-06 07:45:00, 15, bicycle riders, M, 0, 3, 1, 0, 3, 0, 0, 0, 0, 0, 1, 1
BE-NicholsonStBrunswickRd, 2012-03-06 08:00:00, 15, bicycle riders, M, 2, 12, 3, 0, 0, 0, 0, 0, 0, 0, 1, 0
BE-NicholsonStBrunswickRd, 2012-03-06 08:15:00, 15, bicycle riders, M, 0, 17, 1, 0, 4, 1, 0, 0, 0, 1, 0, 0
BE-NicholsonStBrunswickRd, 2012-03-06 08:30:00, 15, bicycle riders, M, 1, 15, 3, 0, 2, 0, 0, 1, 0, 0, 2, 0
BE-NicholsonStBrunswickRd, 2012-03-06 08:45:00, 15, bicycle riders, M, 0, 7, 2, 0, 2, 0, 0, 1, 0, 0, 1, 0
