countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
BE-TruscottBrunswickRd, 2015-03-03 07:00:00, 15, bicycle riders, F, 0, 4, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0
BE-TruscottBrunswickRd, 2015-03-03 07:15:00, 15, bicycle riders, F, 0, 3, 2, 1, 0, 0, 0, 0, 0, 1, 0, 0
BE-TruscottBrunswickRd, 2015-03-03 07:30:00, 15, bicycle riders, F, 0, 4, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0
BE-TruscottBrunswickRd, 2015-03-03 07:45:00, 15, bicycle riders, F, 0, 15, 3, 0, 0, 0, 0, 0, 0, 0, 1, 0
BE-TruscottBrunswickRd, 2015-03-03 08:00:00, 15, bicycle riders, F, 0, 26, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0
BE-TruscottBrunswickRd, 2015-03-03 08:15:00, 15, bicycle riders, F, 0, 12, 7, 0, 1, 0, 0, 1, 0, 0, 2, 0
BE-TruscottBrunswickRd, 2015-03-03 08:30:00, 15, bicycle riders, F, 0, 23, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0
BE-TruscottBrunswickRd, 2015-03-03 08:45:00, 15, bicycle riders, F, 0, 20, 5, 2, 1, 0, 0, 4, 0, 0, 2, 1
BE-TruscottBrunswickRd, 2015-03-03 07:00:00, 15, bicycle riders, M, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
BE-TruscottBrunswickRd, 2015-03-03 07:15:00, 15, bicycle riders, M, 0, 9, 5, 0, 1, 0, 0, 2, 0, 0, 0, 0
BE-TruscottBrunswickRd, 2015-03-03 07:30:00, 15, bicycle riders, M, 0, 12, 3, 0, 1, 0, 0, 1, 0, 0, 1, 0
BE-TruscottBrunswickRd, 2015-03-03 07:45:00, 15, bicycle riders, M, 0, 16, 6, 0, 1, 1, 1, 2, 0, 0, 1, 0
BE-TruscottBrunswickRd, 2015-03-03 08:00:00, 15, bicycle riders, M, 1, 25, 16, 1, 2, 1, 0, 0, 0, 0, 2, 0
BE-TruscottBrunswickRd, 2015-03-03 08:15:00, 15, bicycle riders, M, 0, 23, 9, 0, 1, 0, 0, 2, 0, 0, 1, 0
BE-TruscottBrunswickRd, 2015-03-03 08:30:00, 15, bicycle riders, M, 0, 30, 7, 1, 0, 0, 0, 0, 0, 3, 1, 0
BE-TruscottBrunswickRd, 2015-03-03 08:45:00, 15, bicycle riders, M, 0, 22, 13, 0, 1, 0, 0, 2, 0, 0, 0, 0
