BW-CityLinkDawsonSt-2010-03-02

countsite, site_description, suburb, dist_from_cbd, easting, northing, melway_ref, primary_road, secondary_road
BW-CityLinkDawsonSt,Dawson St and Jewel Crs - near CityLink,Brunswick West,7.1,318424.79,5817844.06,29 B8,Moonee Ponds Creek Trail,Dawson St

countsite, count_date, bin_duration, counting, gender_split, counter
BW-CityLinkDawsonSt,2010-03-02,15,bicycle riders,Y,BV Count - no breakdown available


countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
BW-CityLinkDawsonSt,2010-03-02 07:00:00,15,bicycle riders,F,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0
BW-CityLinkDawsonSt,2010-03-02 07:15:00,15,bicycle riders,F,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0
BW-CityLinkDawsonSt,2010-03-02 07:30:00,15,bicycle riders,F,NA,NA,NA,0,1,NA,0,NA,0,NA,0,0
BW-CityLinkDawsonSt,2010-03-02 07:45:00,15,bicycle riders,F,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0
BW-CityLinkDawsonSt,2010-03-02 08:00:00,15,bicycle riders,F,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0
BW-CityLinkDawsonSt,2010-03-02 08:15:00,15,bicycle riders,F,NA,NA,NA,0,2,NA,0,NA,0,NA,0,0
BW-CityLinkDawsonSt,2010-03-02 08:30:00,15,bicycle riders,F,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0
BW-CityLinkDawsonSt,2010-03-02 08:45:00,15,bicycle riders,F,NA,NA,NA,0,1,NA,0,NA,0,NA,0,0

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
BW-CityLinkDawsonSt,2010-03-02 07:00:00,15,bicycle riders,M,NA,NA,NA,0,1,NA,0,NA,0,NA,0,0
BW-CityLinkDawsonSt,2010-03-02 07:15:00,15,bicycle riders,M,NA,NA,NA,0,1,NA,0,NA,0,NA,0,0
BW-CityLinkDawsonSt,2010-03-02 07:30:00,15,bicycle riders,M,NA,NA,NA,0,1,NA,0,NA,0,NA,0,0
BW-CityLinkDawsonSt,2010-03-02 07:45:00,15,bicycle riders,M,NA,NA,NA,0,1,NA,0,NA,0,NA,0,0
BW-CityLinkDawsonSt,2010-03-02 08:00:00,15,bicycle riders,M,NA,NA,NA,0,1,NA,0,NA,0,NA,0,0
BW-CityLinkDawsonSt,2010-03-02 08:15:00,15,bicycle riders,M,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0
BW-CityLinkDawsonSt,2010-03-02 08:30:00,15,bicycle riders,M,NA,NA,NA,0,1,NA,0,NA,0,NA,0,0
BW-CityLinkDawsonSt,2010-03-02 08:45:00,15,bicycle riders,M,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0
