BW-CityLinkVictoriaSt-2014-03-04

countsite, site_description, suburb, dist_from_cbd, easting, northing, melway_ref, primary_road, secondary_road
BW-CityLinkVictoriaSt,Victoria St (CityLink Overpass),Brunswick West,7.8,318346.84,5818350.13,29 E10,Moonee Ponds Creek Trail,Victoria St

countsite, count_date, bin_duration, counting, gender_split, counter
BW-CityLinkVictoriaSt,2014-03-04,15,bicycle riders,Y,


countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
BW-CityLinkVictoriaSt,2014-03-04 07:00:00,15,bicycle riders,F,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA
BW-CityLinkVictoriaSt,2014-03-04 07:15:00,15,bicycle riders,F,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA
BW-CityLinkVictoriaSt,2014-03-04 07:30:00,15,bicycle riders,F,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA
BW-CityLinkVictoriaSt,2014-03-04 07:45:00,15,bicycle riders,F,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
BW-CityLinkVictoriaSt,2014-03-04 08:00:00,15,bicycle riders,F,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
BW-CityLinkVictoriaSt,2014-03-04 08:15:00,15,bicycle riders,F,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
BW-CityLinkVictoriaSt,2014-03-04 08:30:00,15,bicycle riders,F,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA
BW-CityLinkVictoriaSt,2014-03-04 08:45:00,15,bicycle riders,F,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
BW-CityLinkVictoriaSt,2014-03-04 07:00:00,15,bicycle riders,M,NA,NA,0,NA,0,NA,NA,NA,NA,NA,1,NA
BW-CityLinkVictoriaSt,2014-03-04 07:15:00,15,bicycle riders,M,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA
BW-CityLinkVictoriaSt,2014-03-04 07:30:00,15,bicycle riders,M,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
BW-CityLinkVictoriaSt,2014-03-04 07:45:00,15,bicycle riders,M,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA
BW-CityLinkVictoriaSt,2014-03-04 08:00:00,15,bicycle riders,M,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA
BW-CityLinkVictoriaSt,2014-03-04 08:15:00,15,bicycle riders,M,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,NA
BW-CityLinkVictoriaSt,2014-03-04 08:30:00,15,bicycle riders,M,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,2,NA
BW-CityLinkVictoriaSt,2014-03-04 08:45:00,15,bicycle riders,M,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,3,NA
