countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
BW-GranthamStBrunswickRd, 2010-03-02 07:00:00, 15, bicycle riders, F, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
BW-GranthamStBrunswickRd, 2010-03-02 07:15:00, 15, bicycle riders, F, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
BW-GranthamStBrunswickRd, 2010-03-02 07:30:00, 15, bicycle riders, F, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
BW-GranthamStBrunswickRd, 2010-03-02 07:45:00, 15, bicycle riders, F, 0, 7, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
BW-GranthamStBrunswickRd, 2010-03-02 08:00:00, 15, bicycle riders, F, 0, 7, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0
BW-GranthamStBrunswickRd, 2010-03-02 08:15:00, 15, bicycle riders, F, 0, 6, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
BW-GranthamStBrunswickRd, 2010-03-02 08:30:00, 15, bicycle riders, F, 4, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
BW-GranthamStBrunswickRd, 2010-03-02 08:45:00, 15, bicycle riders, F, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
BW-GranthamStBrunswickRd, 2010-03-02 07:00:00, 15, bicycle riders, M, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
BW-GranthamStBrunswickRd, 2010-03-02 07:15:00, 15, bicycle riders, M, 1, 4, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0
BW-GranthamStBrunswickRd, 2010-03-02 07:30:00, 15, bicycle riders, M, 2, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1
BW-GranthamStBrunswickRd, 2010-03-02 07:45:00, 15, bicycle riders, M, 1, 6, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
BW-GranthamStBrunswickRd, 2010-03-02 08:00:00, 15, bicycle riders, M, 2, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
BW-GranthamStBrunswickRd, 2010-03-02 08:15:00, 15, bicycle riders, M, 4, 8, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0
BW-GranthamStBrunswickRd, 2010-03-02 08:30:00, 15, bicycle riders, M, 1, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
BW-GranthamStBrunswickRd, 2010-03-02 08:45:00, 15, bicycle riders, M, 2, 5, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0
