BW-GranthamStBrunswickRd-2017-03-07

countsite, site_description, suburb, dist_from_cbd, easting, northing, melway_ref, primary_road, secondary_road
BW-GranthamStBrunswickRd, Grantham St and Brunswick Rd, Brunswick, 5.5, 319352.37, 5817091.0, 29 D9, West Brunswick Shimmy, Brunswick Rd

countsite, count_date, bin_duration, counting, gender_split, counter
BW-GranthamStBrunswickRd, 2017-03-07, 15, bicycle riders, Y, Katie O'Bryan


countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
BW-GranthamStBrunswickRd, 2017-03-07 07:00:00, 15, bicycle riders, F, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
BW-GranthamStBrunswickRd, 2017-03-07 07:15:00, 15, bicycle riders, F, 0, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1
BW-GranthamStBrunswickRd, 2017-03-07 07:30:00, 15, bicycle riders, F, 0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0
BW-GranthamStBrunswickRd, 2017-03-07 07:45:00, 15, bicycle riders, F, 1, 5, 0, 3, 0, 0, 0, 1, 0, 0, 0, 2
BW-GranthamStBrunswickRd, 2017-03-07 08:00:00, 15, bicycle riders, F, 2, 5, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2
BW-GranthamStBrunswickRd, 2017-03-07 08:15:00, 15, bicycle riders, F, 2, 11, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1
BW-GranthamStBrunswickRd, 2017-03-07 08:30:00, 15, bicycle riders, F, 0, 7, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1
BW-GranthamStBrunswickRd, 2017-03-07 08:45:00, 15, bicycle riders, F, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
BW-GranthamStBrunswickRd, 2017-03-07 07:00:00, 15, bicycle riders, M, 0, 5, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1
BW-GranthamStBrunswickRd, 2017-03-07 07:15:00, 15, bicycle riders, M, 2, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
BW-GranthamStBrunswickRd, 2017-03-07 07:30:00, 15, bicycle riders, M, 3, 6, 0, 1, 1, 2, 0, 0, 0, 0, 1, 0
BW-GranthamStBrunswickRd, 2017-03-07 07:45:00, 15, bicycle riders, M, 1, 4, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0
BW-GranthamStBrunswickRd, 2017-03-07 08:00:00, 15, bicycle riders, M, 5, 19, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1
BW-GranthamStBrunswickRd, 2017-03-07 08:15:00, 15, bicycle riders, M, 1, 12, 0, 3, 0, 0, 0, 0, 0, 0, 2, 0
BW-GranthamStBrunswickRd, 2017-03-07 08:30:00, 15, bicycle riders, M, 1, 11, 0, 0, 1, 1, 0, 0, 0, 1, 2, 3
BW-GranthamStBrunswickRd, 2017-03-07 08:45:00, 15, bicycle riders, M, 5, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
