BW-MelvilleDawsonSt-2012-03-06

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
BW-MelvilleDawsonSt, 2012-03-06 07:00:00, 15, bicycle riders, F, 1, NA, 0, NA, 0, 0, NA, NA, NA, 0, 0, NA
BW-MelvilleDawsonSt, 2012-03-06 07:15:00, 15, bicycle riders, F, 2, NA, 0, NA, 0, 0, NA, NA, NA, 0, 0, NA
BW-MelvilleDawsonSt, 2012-03-06 07:30:00, 15, bicycle riders, F, 2, NA, 0, NA, 1, 0, NA, NA, NA, 0, 0, NA
BW-MelvilleDawsonSt, 2012-03-06 07:45:00, 15, bicycle riders, F, 0, NA, 0, NA, 1, 0, NA, NA, NA, 0, 1, NA
BW-MelvilleDawsonSt, 2012-03-06 08:00:00, 15, bicycle riders, F, 0, NA, 0, NA, 1, 0, NA, NA, NA, 0, 0, NA
BW-MelvilleDawsonSt, 2012-03-06 08:15:00, 15, bicycle riders, F, 1, NA, 0, NA, 1, 0, NA, NA, NA, 0, 0, NA
BW-MelvilleDawsonSt, 2012-03-06 08:30:00, 15, bicycle riders, F, 0, NA, 0, NA, 0, 0, NA, NA, NA, 0, 1, NA
BW-MelvilleDawsonSt, 2012-03-06 08:45:00, 15, bicycle riders, F, 2, NA, 0, NA, 1, 0, NA, NA, NA, 0, 0, NA

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
BW-MelvilleDawsonSt, 2012-03-06 07:00:00, 15, bicycle riders, M, 2, NA, 0, NA, 1, 0, NA, NA, NA, 0, 1, NA
BW-MelvilleDawsonSt, 2012-03-06 07:15:00, 15, bicycle riders, M, 2, NA, 0, NA, 1, 0, NA, NA, NA, 0, 1, NA
BW-MelvilleDawsonSt, 2012-03-06 07:30:00, 15, bicycle riders, M, 1, NA, 0, NA, 1, 0, NA, NA, NA, 0, 1, NA
BW-MelvilleDawsonSt, 2012-03-06 07:45:00, 15, bicycle riders, M, 2, NA, 1, NA, 3, 0, NA, NA, NA, 0, 3, NA
BW-MelvilleDawsonSt, 2012-03-06 08:00:00, 15, bicycle riders, M, 0, NA, 0, NA, 3, 0, NA, NA, NA, 1, 2, NA
BW-MelvilleDawsonSt, 2012-03-06 08:15:00, 15, bicycle riders, M, 4, NA, 0, NA, 0, 0, NA, NA, NA, 0, 2, NA
BW-MelvilleDawsonSt, 2012-03-06 08:30:00, 15, bicycle riders, M, 2, NA, 0, NA, 0, 0, NA, NA, NA, 0, 3, NA
BW-MelvilleDawsonSt, 2012-03-06 08:45:00, 15, bicycle riders, M, 2, NA, 0, NA, 0, 0, NA, NA, NA, 0, 3, NA
