BW-PearsonStVictoriaSt-2013-03-05

countsite, site_description, suburb, dist_from_cbd, easting, northing, melway_ref, primary_road, secondary_road
BW-PearsonStVictoriaSt,Pearson St and Victoria Street,Brunswick West,6.7,319372.44,5818223.81,29 D7,Pearson St,Victoria St

countsite, count_date, bin_duration, counting, gender_split, counter
BW-PearsonStVictoriaSt,2013-03-05,15,bicycle riders,Y,


countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
BW-PearsonStVictoriaSt,2013-03-05 07:00:00,15,bicycle riders,F,0,2,0,0,0,0,0,0,0,0,0,0
BW-PearsonStVictoriaSt,2013-03-05 07:15:00,15,bicycle riders,F,4,0,0,0,0,0,0,2,0,0,1,0
BW-PearsonStVictoriaSt,2013-03-05 07:30:00,15,bicycle riders,F,0,2,0,0,0,0,0,1,0,0,1,0
BW-PearsonStVictoriaSt,2013-03-05 07:45:00,15,bicycle riders,F,0,4,0,0,0,0,0,0,0,0,2,1
BW-PearsonStVictoriaSt,2013-03-05 08:00:00,15,bicycle riders,F,1,5,0,0,0,0,1,0,0,0,1,0
BW-PearsonStVictoriaSt,2013-03-05 08:15:00,15,bicycle riders,F,5,1,0,0,1,0,0,1,0,0,1,0
BW-PearsonStVictoriaSt,2013-03-05 08:30:00,15,bicycle riders,F,2,3,1,0,0,0,0,1,0,1,2,0
BW-PearsonStVictoriaSt,2013-03-05 08:45:00,15,bicycle riders,F,2,3,0,0,1,0,1,3,0,0,2,0

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
BW-PearsonStVictoriaSt,2013-03-05 07:00:00,15,bicycle riders,M,1,3,0,0,0,0,0,0,0,0,1,0
BW-PearsonStVictoriaSt,2013-03-05 07:15:00,15,bicycle riders,M,0,5,0,0,1,0,0,0,0,0,2,0
BW-PearsonStVictoriaSt,2013-03-05 07:30:00,15,bicycle riders,M,2,5,0,0,0,0,0,0,0,0,1,0
BW-PearsonStVictoriaSt,2013-03-05 07:45:00,15,bicycle riders,M,1,4,0,1,1,0,0,0,0,0,3,1
BW-PearsonStVictoriaSt,2013-03-05 08:00:00,15,bicycle riders,M,3,7,0,1,0,1,0,1,0,0,3,0
BW-PearsonStVictoriaSt,2013-03-05 08:15:00,15,bicycle riders,M,1,10,0,0,0,0,0,0,0,0,2,0
BW-PearsonStVictoriaSt,2013-03-05 08:30:00,15,bicycle riders,M,2,8,0,0,3,0,0,3,0,0,4,0
BW-PearsonStVictoriaSt,2013-03-05 08:45:00,15,bicycle riders,M,1,6,0,1,1,1,0,0,0,0,2,1
