BW-PearsonStVictoriaSt-2016-03-01

countsite, site_description, suburb, dist_from_cbd, easting, northing, melway_ref, primary_road, secondary_road
BW-PearsonStVictoriaSt,Pearson St and Victoria Street,Brunswick West,6.7,319372.44,5818223.81,29 D7,Pearson St,Victoria St

countsite, count_date, bin_duration, counting, gender_split, counter
BW-PearsonStVictoriaSt,2016-03-01,15,bicycle riders,Y,Lynne Oliver


countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
BW-PearsonStVictoriaSt,2016-03-01 07:00:00,15,bicycle riders,F,0,1,0,0,1,0,0,0,0,0,0,0
BW-PearsonStVictoriaSt,2016-03-01 07:15:00,15,bicycle riders,F,2,3,0,0,0,0,0,0,0,0,0,1
BW-PearsonStVictoriaSt,2016-03-01 07:30:00,15,bicycle riders,F,2,6,0,0,0,0,0,0,0,0,1,0
BW-PearsonStVictoriaSt,2016-03-01 07:45:00,15,bicycle riders,F,0,1,0,0,0,0,0,0,0,0,1,0
BW-PearsonStVictoriaSt,2016-03-01 08:00:00,15,bicycle riders,F,2,3,0,0,1,0,0,0,0,0,2,0
BW-PearsonStVictoriaSt,2016-03-01 08:15:00,15,bicycle riders,F,3,8,0,0,2,0,0,1,0,0,0,0
BW-PearsonStVictoriaSt,2016-03-01 08:30:00,15,bicycle riders,F,5,3,0,0,0,0,0,1,0,0,2,0
BW-PearsonStVictoriaSt,2016-03-01 08:45:00,15,bicycle riders,F,2,3,0,0,0,0,0,0,0,0,1,0

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
BW-PearsonStVictoriaSt,2016-03-01 07:00:00,15,bicycle riders,M,2,3,0,0,0,1,0,1,0,0,0,0
BW-PearsonStVictoriaSt,2016-03-01 07:15:00,15,bicycle riders,M,0,7,0,1,1,0,0,0,0,0,4,0
BW-PearsonStVictoriaSt,2016-03-01 07:30:00,15,bicycle riders,M,2,7,0,0,1,0,0,1,0,0,0,0
BW-PearsonStVictoriaSt,2016-03-01 07:45:00,15,bicycle riders,M,3,10,0,0,1,0,0,0,0,0,1,0
BW-PearsonStVictoriaSt,2016-03-01 08:00:00,15,bicycle riders,M,5,9,0,1,1,0,0,1,0,0,8,1
BW-PearsonStVictoriaSt,2016-03-01 08:15:00,15,bicycle riders,M,2,10,0,1,1,0,0,2,0,0,3,0
BW-PearsonStVictoriaSt,2016-03-01 08:30:00,15,bicycle riders,M,2,8,0,1,1,0,0,2,1,0,3,0
BW-PearsonStVictoriaSt,2016-03-01 08:45:00,15,bicycle riders,M,2,8,0,0,3,0,0,0,0,0,1,0
