C-BarrowStMorelandRd-2012-03-06

countsite, site_description, suburb, dist_from_cbd, easting, northing, melway_ref, primary_road, secondary_road
C-BarrowStMorelandRd,Barrow St and Moreland Rd,Coburg,8.0,321209.87,5819297.96,29 J4,Barrow St,Moreland Rd

countsite, count_date, bin_duration, counting, gender_split, counter
C-BarrowStMorelandRd,2012-03-06,15,bicycle riders,Y,


countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
C-BarrowStMorelandRd,2012-03-06 07:00:00,15,bicycle riders,F,0,2,0,0,0,0,0,0,0,0,0,0
C-BarrowStMorelandRd,2012-03-06 07:15:00,15,bicycle riders,F,0,3,0,0,1,0,0,0,0,0,1,0
C-BarrowStMorelandRd,2012-03-06 07:30:00,15,bicycle riders,F,0,4,0,1,1,0,0,1,0,0,1,0
C-BarrowStMorelandRd,2012-03-06 07:45:00,15,bicycle riders,F,1,3,0,0,1,0,0,0,0,1,2,0
C-BarrowStMorelandRd,2012-03-06 08:00:00,15,bicycle riders,F,0,4,0,0,0,0,0,0,1,0,0,0
C-BarrowStMorelandRd,2012-03-06 08:15:00,15,bicycle riders,F,0,4,0,0,0,0,1,0,0,0,2,2
C-BarrowStMorelandRd,2012-03-06 08:30:00,15,bicycle riders,F,0,3,0,2,2,0,2,1,0,0,0,0
C-BarrowStMorelandRd,2012-03-06 08:45:00,15,bicycle riders,F,1,1,0,0,0,0,0,1,0,0,0,0

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
C-BarrowStMorelandRd,2012-03-06 07:00:00,15,bicycle riders,M,0,1,0,0,3,0,0,0,0,0,0,0
C-BarrowStMorelandRd,2012-03-06 07:15:00,15,bicycle riders,M,2,1,0,0,1,0,0,0,0,0,3,0
C-BarrowStMorelandRd,2012-03-06 07:30:00,15,bicycle riders,M,1,0,0,0,1,0,0,0,0,0,1,0
C-BarrowStMorelandRd,2012-03-06 07:45:00,15,bicycle riders,M,1,3,2,0,2,0,0,0,1,1,0,0
C-BarrowStMorelandRd,2012-03-06 08:00:00,15,bicycle riders,M,0,4,0,0,2,0,0,2,1,0,3,0
C-BarrowStMorelandRd,2012-03-06 08:15:00,15,bicycle riders,M,1,5,0,0,2,0,1,0,0,0,1,0
C-BarrowStMorelandRd,2012-03-06 08:30:00,15,bicycle riders,M,1,10,0,0,0,0,1,4,1,0,1,0
C-BarrowStMorelandRd,2012-03-06 08:45:00,15,bicycle riders,M,1,6,0,1,0,0,0,0,0,0,0,0
