C-BarrowStMorelandRd-2016-03-01

countsite, site_description, suburb, dist_from_cbd, easting, northing, melway_ref, primary_road, secondary_road
C-BarrowStMorelandRd, Barrow St and Moreland Rd, Coburg, 8.0, 321209.87, 5819297.96, 29 J4, Barrow St, Moreland Rd

countsite, count_date, bin_duration, counting, gender_split, counter
C-BarrowStMorelandRd, 2016-03-01, 15, bicycle riders, Y, Lenka & Aroha


countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
C-BarrowStMorelandRd, 2016-03-01 07:00:00, 15, bicycle riders, F, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
C-BarrowStMorelandRd, 2016-03-01 07:15:00, 15, bicycle riders, F, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0
C-BarrowStMorelandRd, 2016-03-01 07:30:00, 15, bicycle riders, F, 0, 3, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0
C-BarrowStMorelandRd, 2016-03-01 07:45:00, 15, bicycle riders, F, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
C-BarrowStMorelandRd, 2016-03-01 08:00:00, 15, bicycle riders, F, 1, 2, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0
C-BarrowStMorelandRd, 2016-03-01 08:15:00, 15, bicycle riders, F, 0, 5, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0
C-BarrowStMorelandRd, 2016-03-01 08:30:00, 15, bicycle riders, F, 3, 5, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0
C-BarrowStMorelandRd, 2016-03-01 08:45:00, 15, bicycle riders, F, 1, 4, 0, 0, 1, 0, 0, 2, 0, 0, 1, 0

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
C-BarrowStMorelandRd, 2016-03-01 07:00:00, 15, bicycle riders, M, 0, 3, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0
C-BarrowStMorelandRd, 2016-03-01 07:15:00, 15, bicycle riders, M, 0, 2, 0, 0, 5, 0, 0, 0, 0, 0, 3, 0
C-BarrowStMorelandRd, 2016-03-01 07:30:00, 15, bicycle riders, M, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
C-BarrowStMorelandRd, 2016-03-01 07:45:00, 15, bicycle riders, M, 0, 2, 0, 0, 3, 0, 0, 1, 0, 0, 2, 0
C-BarrowStMorelandRd, 2016-03-01 08:00:00, 15, bicycle riders, M, 0, 9, 0, 0, 1, 0, 0, 3, 1, 1, 5, 0
C-BarrowStMorelandRd, 2016-03-01 08:15:00, 15, bicycle riders, M, 1, 6, 1, 1, 3, 0, 0, 0, 0, 0, 2, 0
C-BarrowStMorelandRd, 2016-03-01 08:30:00, 15, bicycle riders, M, 2, 5, 0, 0, 4, 0, 0, 2, 0, 0, 1, 3
C-BarrowStMorelandRd, 2016-03-01 08:45:00, 15, bicycle riders, M, 1, 3, 0, 0, 3, 0, 0, 0, 1, 0, 1, 0
