C-BarrowStRennieSt-2014-03-04

countsite, site_description, suburb, dist_from_cbd, easting, northing, melway_ref, primary_road, secondary_road
C-BarrowStRennieSt, Barrow St & Rennie St, Coburg, 8.0, 321272.95, 5819879.16, 29 J3, Barrow St, Rennie St

countsite, count_date, bin_duration, counting, gender_split, counter
C-BarrowStRennieSt, 2014-03-04, 15, bicycle riders, Y, Arwen Birch


countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
C-BarrowStRennieSt, 2014-03-04 07:00:00, 15, bicycle riders, F, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0
C-BarrowStRennieSt, 2014-03-04 07:15:00, 15, bicycle riders, F, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
C-BarrowStRennieSt, 2014-03-04 07:30:00, 15, bicycle riders, F, 0, 2, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0
C-BarrowStRennieSt, 2014-03-04 07:45:00, 15, bicycle riders, F, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0
C-BarrowStRennieSt, 2014-03-04 08:00:00, 15, bicycle riders, F, 0, 3, 1, 0, 0, 0, 0, 0, 1, 0, 0, 2
C-BarrowStRennieSt, 2014-03-04 08:15:00, 15, bicycle riders, F, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
C-BarrowStRennieSt, 2014-03-04 08:30:00, 15, bicycle riders, F, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
C-BarrowStRennieSt, 2014-03-04 08:45:00, 15, bicycle riders, F, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
C-BarrowStRennieSt, 2014-03-04 07:00:00, 15, bicycle riders, M, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0
C-BarrowStRennieSt, 2014-03-04 07:15:00, 15, bicycle riders, M, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
C-BarrowStRennieSt, 2014-03-04 07:30:00, 15, bicycle riders, M, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
C-BarrowStRennieSt, 2014-03-04 07:45:00, 15, bicycle riders, M, 0, 1, 1, 0, 4, 0, 0, 0, 0, 0, 0, 0
C-BarrowStRennieSt, 2014-03-04 08:00:00, 15, bicycle riders, M, 0, 1, 0, 1, 2, 0, 0, 3, 0, 0, 0, 1
C-BarrowStRennieSt, 2014-03-04 08:15:00, 15, bicycle riders, M, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
C-BarrowStRennieSt, 2014-03-04 08:30:00, 15, bicycle riders, M, 0, 4, 0, 2, 0, 0, 1, 1, 0, 0, 0, 1
C-BarrowStRennieSt, 2014-03-04 08:45:00, 15, bicycle riders, M, 0, 3, 1, 0, 0, 0, 1, 2, 0, 0, 0, 1
