C-MerriCrkDeCheneBridge-2017-03-07

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
C-MerriCrkDeCheneBridge, 2017-03-07 07:00:00, 15, bicycle riders, F, NA, NA, NA, 0, 0, NA, 0, NA, 0, NA, 0, 0
C-MerriCrkDeCheneBridge, 2017-03-07 07:15:00, 15, bicycle riders, F, NA, NA, NA, 0, 0, NA, 0, NA, 0, NA, 0, 1
C-MerriCrkDeCheneBridge, 2017-03-07 07:30:00, 15, bicycle riders, F, NA, NA, NA, 2, 0, NA, 0, NA, 0, NA, 0, 2
C-MerriCrkDeCheneBridge, 2017-03-07 07:45:00, 15, bicycle riders, F, NA, NA, NA, 2, 0, NA, 0, NA, 0, NA, 0, 4
C-MerriCrkDeCheneBridge, 2017-03-07 08:00:00, 15, bicycle riders, F, NA, NA, NA, 1, 0, NA, 1, NA, 1, NA, 0, 5
C-MerriCrkDeCheneBridge, 2017-03-07 08:15:00, 15, bicycle riders, F, NA, NA, NA, 3, 0, NA, 0, NA, 0, NA, 0, 3
C-MerriCrkDeCheneBridge, 2017-03-07 08:30:00, 15, bicycle riders, F, NA, NA, NA, 4, 0, NA, 1, NA, 0, NA, 0, 0
C-MerriCrkDeCheneBridge, 2017-03-07 08:45:00, 15, bicycle riders, F, NA, NA, NA, 0, 0, NA, 0, NA, 0, NA, 0, 2

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
C-MerriCrkDeCheneBridge, 2017-03-07 07:00:00, 15, bicycle riders, M, NA, NA, NA, 0, 1, NA, 4, NA, 0, NA, 0, 2
C-MerriCrkDeCheneBridge, 2017-03-07 07:15:00, 15, bicycle riders, M, NA, NA, NA, 0, 0, NA, 1, NA, 0, NA, 0, 3
C-MerriCrkDeCheneBridge, 2017-03-07 07:30:00, 15, bicycle riders, M, NA, NA, NA, 2, 0, NA, 0, NA, 1, NA, 0, 5
C-MerriCrkDeCheneBridge, 2017-03-07 07:45:00, 15, bicycle riders, M, NA, NA, NA, 3, 0, NA, 2, NA, 0, NA, 0, 12
C-MerriCrkDeCheneBridge, 2017-03-07 08:00:00, 15, bicycle riders, M, NA, NA, NA, 2, 0, NA, 0, NA, 0, NA, 0, 7
C-MerriCrkDeCheneBridge, 2017-03-07 08:15:00, 15, bicycle riders, M, NA, NA, NA, 3, 0, NA, 1, NA, 0, NA, 0, 10
C-MerriCrkDeCheneBridge, 2017-03-07 08:30:00, 15, bicycle riders, M, NA, NA, NA, 8, 0, NA, 1, NA, 2, NA, 0, 6
C-MerriCrkDeCheneBridge, 2017-03-07 08:45:00, 15, bicycle riders, M, NA, NA, NA, 3, 0, NA, 1, NA, 0, NA, 0, 5
