countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
C-MerriCrkHardingSt, 2017-03-07 07:00:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
C-MerriCrkHardingSt, 2017-03-07 07:15:00, 15, bicycle riders, F, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
C-MerriCrkHardingSt, 2017-03-07 07:30:00, 15, bicycle riders, F, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
C-MerriCrkHardingSt, 2017-03-07 07:45:00, 15, bicycle riders, F, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
C-MerriCrkHardingSt, 2017-03-07 08:00:00, 15, bicycle riders, F, 0, 6, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0
C-MerriCrkHardingSt, 2017-03-07 08:15:00, 15, bicycle riders, F, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
C-MerriCrkHardingSt, 2017-03-07 08:30:00, 15, bicycle riders, F, 0, 5, 0, 0, 0, 0, 1, 1, 0, 0, 0, 2
C-MerriCrkHardingSt, 2017-03-07 08:45:00, 15, bicycle riders, F, 0, 3, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0
C-MerriCrkHardingSt, 2017-03-07 07:00:00, 15, bicycle riders, M, 0, 3, 0, 0, 1, 0, 0, 3, 0, 0, 2, 2
C-MerriCrkHardingSt, 2017-03-07 07:15:00, 15, bicycle riders, M, 1, 3, 0, 0, 0, 0, 1, 0, 0, 0, 2, 3
C-MerriCrkHardingSt, 2017-03-07 07:30:00, 15, bicycle riders, M, 0, 2, 1, 0, 0, 0, 0, 4, 1, 0, 0, 3
C-MerriCrkHardingSt, 2017-03-07 07:45:00, 15, bicycle riders, M, 0, 10, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
C-MerriCrkHardingSt, 2017-03-07 08:00:00, 15, bicycle riders, M, 0, 11, 0, 0, 0, 0, 2, 3, 0, 0, 0, 1
C-MerriCrkHardingSt, 2017-03-07 08:15:00, 15, bicycle riders, M, 0, 11, 1, 3, 1, 0, 1, 4, 0, 0, 0, 1
C-MerriCrkHardingSt, 2017-03-07 08:30:00, 15, bicycle riders, M, 0, 7, 0, 0, 1, 0, 3, 2, 0, 0, 0, 2
C-MerriCrkHardingSt, 2017-03-07 08:45:00, 15, bicycle riders, M, 0, 9, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
