C-NicholsonStMorelandRd-2012-03-06

countsite, site_description, suburb, dist_from_cbd, easting, northing, melway_ref, primary_road, secondary_road
C-NicholsonStMorelandRd, Nicholson St Holmes Rd and Moreland Rd, Coburg, 8.7, 321603.11, 5819252.65, 29 K4, Lygon  - Holmes - Nicholson, Moreland Rd

countsite, count_date, bin_duration, counting, gender_split, counter
C-NicholsonStMorelandRd, 2012-03-06, 15, bicycle riders, Y, 


countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
C-NicholsonStMorelandRd, 2012-03-06 07:00:00, 15, bicycle riders, F, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
C-NicholsonStMorelandRd, 2012-03-06 07:15:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
C-NicholsonStMorelandRd, 2012-03-06 07:30:00, 15, bicycle riders, F, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0
C-NicholsonStMorelandRd, 2012-03-06 07:45:00, 15, bicycle riders, F, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 3, 0
C-NicholsonStMorelandRd, 2012-03-06 08:00:00, 15, bicycle riders, F, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
C-NicholsonStMorelandRd, 2012-03-06 08:15:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0
C-NicholsonStMorelandRd, 2012-03-06 08:30:00, 15, bicycle riders, F, 0, 2, 0, 0, 3, 0, 0, 1, 0, 0, 1, 0
C-NicholsonStMorelandRd, 2012-03-06 08:45:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
C-NicholsonStMorelandRd, 2012-03-06 07:00:00, 15, bicycle riders, M, 0, 1, 1, 0, 2, 0, 0, 0, 0, 0, 1, 0
C-NicholsonStMorelandRd, 2012-03-06 07:15:00, 15, bicycle riders, M, 1, 6, 1, 0, 1, 0, 0, 0, 0, 0, 3, 1
C-NicholsonStMorelandRd, 2012-03-06 07:30:00, 15, bicycle riders, M, 2, 4, 0, 0, 3, 0, 0, 0, 1, 0, 1, 0
C-NicholsonStMorelandRd, 2012-03-06 07:45:00, 15, bicycle riders, M, 0, 3, 0, 1, 4, 0, 0, 1, 0, 0, 2, 0
C-NicholsonStMorelandRd, 2012-03-06 08:00:00, 15, bicycle riders, M, 1, 10, 1, 1, 2, 0, 0, 0, 0, 0, 4, 0
C-NicholsonStMorelandRd, 2012-03-06 08:15:00, 15, bicycle riders, M, 0, 4, 1, 0, 2, 1, 0, 0, 1, 0, 2, 0
C-NicholsonStMorelandRd, 2012-03-06 08:30:00, 15, bicycle riders, M, 1, 10, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1
C-NicholsonStMorelandRd, 2012-03-06 08:45:00, 15, bicycle riders, M, 0, 5, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1
