C-NicholsonStMorelandRd-2016-03-01

countsite, site_description, suburb, dist_from_cbd, easting, northing, melway_ref, primary_road, secondary_road
C-NicholsonStMorelandRd, Nicholson St Holmes Rd and Moreland Rd, Coburg, 8.7, 321603.11, 5819252.65, 29 K4, Lygon  - Holmes - Nicholson, Moreland Rd

countsite, count_date, bin_duration, counting, gender_split, counter
C-NicholsonStMorelandRd, 2016-03-01, 15, bicycle riders, Y, Alf Trotta


countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
C-NicholsonStMorelandRd, 2016-03-01 07:00:00, 15, bicycle riders, F, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1
C-NicholsonStMorelandRd, 2016-03-01 07:15:00, 15, bicycle riders, F, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 1, 0
C-NicholsonStMorelandRd, 2016-03-01 07:30:00, 15, bicycle riders, F, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
C-NicholsonStMorelandRd, 2016-03-01 07:45:00, 15, bicycle riders, F, 0, 4, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0
C-NicholsonStMorelandRd, 2016-03-01 08:00:00, 15, bicycle riders, F, 0, 3, 0, 0, 1, 0, 0, 1, 0, 0, 2, 1
C-NicholsonStMorelandRd, 2016-03-01 08:15:00, 15, bicycle riders, F, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
C-NicholsonStMorelandRd, 2016-03-01 08:30:00, 15, bicycle riders, F, 0, 6, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0
C-NicholsonStMorelandRd, 2016-03-01 08:45:00, 15, bicycle riders, F, 0, 2, 1, 0, 0, 0, 1, 0, 0, 0, 2, 0

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
C-NicholsonStMorelandRd, 2016-03-01 07:00:00, 15, bicycle riders, M, 1, 3, 0, 0, 1, 0, 0, 0, 1, 0, 2, 0
C-NicholsonStMorelandRd, 2016-03-01 07:15:00, 15, bicycle riders, M, 0, 7, 1, 0, 2, 0, 0, 0, 0, 0, 4, 0
C-NicholsonStMorelandRd, 2016-03-01 07:30:00, 15, bicycle riders, M, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0
C-NicholsonStMorelandRd, 2016-03-01 07:45:00, 15, bicycle riders, M, 2, 6, 0, 0, 3, 0, 0, 0, 1, 0, 4, 0
C-NicholsonStMorelandRd, 2016-03-01 08:00:00, 15, bicycle riders, M, 1, 5, 0, 0, 1, 0, 0, 1, 0, 0, 3, 1
C-NicholsonStMorelandRd, 2016-03-01 08:15:00, 15, bicycle riders, M, 1, 7, 1, 0, 4, 1, 0, 0, 0, 0, 2, 3
C-NicholsonStMorelandRd, 2016-03-01 08:30:00, 15, bicycle riders, M, 0, 6, 2, 0, 0, 0, 0, 0, 0, 1, 5, 1
C-NicholsonStMorelandRd, 2016-03-01 08:45:00, 15, bicycle riders, M, 1, 5, 0, 0, 2, 0, 0, 0, 0, 0, 4, 0
