countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
C-UpfieldMorelandRd, 2013-03-21 07:00:00, 15, bicycle riders, F, 1, 2, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1
C-UpfieldMorelandRd, 2013-03-21 07:15:00, 15, bicycle riders, F, 0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0
C-UpfieldMorelandRd, 2013-03-21 07:30:00, 15, bicycle riders, F, 0, 11, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0
C-UpfieldMorelandRd, 2013-03-21 07:45:00, 15, bicycle riders, F, 1, 13, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0
C-UpfieldMorelandRd, 2013-03-21 08:00:00, 15, bicycle riders, F, 1, 16, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1
C-UpfieldMorelandRd, 2013-03-21 08:15:00, 15, bicycle riders, F, 0, 15, 0, 2, 0, 0, 1, 1, 0, 0, 1, 3
C-UpfieldMorelandRd, 2013-03-21 08:30:00, 15, bicycle riders, F, 0, 12, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
C-UpfieldMorelandRd, 2013-03-21 08:45:00, 15, bicycle riders, F, 0, 10, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
C-UpfieldMorelandRd, 2013-03-21 07:00:00, 15, bicycle riders, M, 1, 3, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0
C-UpfieldMorelandRd, 2013-03-21 07:15:00, 15, bicycle riders, M, 1, 9, 0, 1, 1, 0, 0, 0, 1, 1, 3, 0
C-UpfieldMorelandRd, 2013-03-21 07:30:00, 15, bicycle riders, M, 1, 14, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0
C-UpfieldMorelandRd, 2013-03-21 07:45:00, 15, bicycle riders, M, 0, 8, 0, 0, 0, 0, 3, 1, 1, 0, 1, 1
C-UpfieldMorelandRd, 2013-03-21 08:00:00, 15, bicycle riders, M, 0, 19, 0, 1, 1, 0, 0, 1, 1, 1, 1, 3
C-UpfieldMorelandRd, 2013-03-21 08:15:00, 15, bicycle riders, M, 0, 32, 0, 0, 1, 0, 0, 6, 1, 1, 1, 2
C-UpfieldMorelandRd, 2013-03-21 08:30:00, 15, bicycle riders, M, 0, 28, 0, 0, 1, 0, 0, 1, 0, 1, 3, 3
C-UpfieldMorelandRd, 2013-03-21 08:45:00, 15, bicycle riders, M, 0, 16, 0, 0, 1, 0, 0, 2, 0, 1, 1, 1
