C-UpfieldMorelandRd-2015-02-26

countsite, site_description, suburb, dist_from_cbd, easting, northing, melway_ref, primary_road, secondary_road
C-UpfieldMorelandRd, Upfield Shared Path and Moreland Rd, Coburg, 7.1, 320475.61, 5819390.53, 29 G4, Upfield Shared Path, Moreland Rd

countsite, count_date, bin_duration, counting, gender_split, counter
C-UpfieldMorelandRd, 2015-02-26, 15, bicycle riders, Y, 


countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
C-UpfieldMorelandRd, 2015-02-26 07:00:00, 15, bicycle riders, F, 1, 12, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0
C-UpfieldMorelandRd, 2015-02-26 07:15:00, 15, bicycle riders, F, 0, 13, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0
C-UpfieldMorelandRd, 2015-02-26 07:30:00, 15, bicycle riders, F, 2, 26, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0
C-UpfieldMorelandRd, 2015-02-26 07:45:00, 15, bicycle riders, F, 0, 35, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0
C-UpfieldMorelandRd, 2015-02-26 08:00:00, 15, bicycle riders, F, 0, 27, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0
C-UpfieldMorelandRd, 2015-02-26 08:15:00, 15, bicycle riders, F, 2, 39, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
C-UpfieldMorelandRd, 2015-02-26 08:30:00, 15, bicycle riders, F, 0, 41, 0, 2, 1, 0, 0, 0, 0, 0, 1, 0
C-UpfieldMorelandRd, 2015-02-26 08:45:00, 15, bicycle riders, F, 0, 23, 0, 0, 2, 0, 0, 1, 1, 0, 2, 0

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
C-UpfieldMorelandRd, 2015-02-26 07:00:00, 15, bicycle riders, M, 0, 5, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0
C-UpfieldMorelandRd, 2015-02-26 07:15:00, 15, bicycle riders, M, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
C-UpfieldMorelandRd, 2015-02-26 07:30:00, 15, bicycle riders, M, 1, 8, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
C-UpfieldMorelandRd, 2015-02-26 07:45:00, 15, bicycle riders, M, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
C-UpfieldMorelandRd, 2015-02-26 08:00:00, 15, bicycle riders, M, 0, 23, 0, 0, 2, 0, 0, 2, 0, 0, 3, 0
C-UpfieldMorelandRd, 2015-02-26 08:15:00, 15, bicycle riders, M, 1, 17, 0, 1, 1, 0, 0, 2, 0, 0, 2, 0
C-UpfieldMorelandRd, 2015-02-26 08:30:00, 15, bicycle riders, M, 1, 34, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
C-UpfieldMorelandRd, 2015-02-26 08:45:00, 15, bicycle riders, M, 0, 24, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0
