countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
C-UpfieldMunroSt, 2012-03-06 07:00:00, 15, bicycle riders, F, 0, 4, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
C-UpfieldMunroSt, 2012-03-06 07:15:00, 15, bicycle riders, F, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
C-UpfieldMunroSt, 2012-03-06 07:30:00, 15, bicycle riders, F, 0, 7, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
C-UpfieldMunroSt, 2012-03-06 07:45:00, 15, bicycle riders, F, 0, 5, 0, 0, 0, 0, 0, 3, 1, 0, 0, 1
C-UpfieldMunroSt, 2012-03-06 08:00:00, 15, bicycle riders, F, 0, 4, 0, 2, 0, 0, 0, 2, 0, 0, 3, 6
C-UpfieldMunroSt, 2012-03-06 08:15:00, 15, bicycle riders, F, 0, 4, 0, 1, 0, 1, 0, 4, 0, 0, 0, 2
C-UpfieldMunroSt, 2012-03-06 08:30:00, 15, bicycle riders, F, 0, 5, 0, 0, 1, 0, 0, 2, 1, 0, 0, 0
C-UpfieldMunroSt, 2012-03-06 08:45:00, 15, bicycle riders, F, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
C-UpfieldMunroSt, 2012-03-06 07:00:00, 15, bicycle riders, M, 1, 4, 0, 1, 0, 0, 0, 3, 0, 0, 1, 1
C-UpfieldMunroSt, 2012-03-06 07:15:00, 15, bicycle riders, M, 0, 13, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1
C-UpfieldMunroSt, 2012-03-06 07:30:00, 15, bicycle riders, M, 2, 8, 0, 3, 0, 0, 0, 2, 0, 0, 1, 5
C-UpfieldMunroSt, 2012-03-06 07:45:00, 15, bicycle riders, M, 0, 17, 0, 1, 2, 0, 0, 4, 0, 0, 2, 2
C-UpfieldMunroSt, 2012-03-06 08:00:00, 15, bicycle riders, M, 0, 13, 0, 0, 2, 0, 0, 2, 0, 0, 1, 2
C-UpfieldMunroSt, 2012-03-06 08:15:00, 15, bicycle riders, M, 0, 15, 0, 0, 0, 0, 0, 2, 1, 0, 2, 4
C-UpfieldMunroSt, 2012-03-06 08:30:00, 15, bicycle riders, M, 0, 7, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
C-UpfieldMunroSt, 2012-03-06 08:45:00, 15, bicycle riders, M, 0, 7, 0, 0, 1, 1, 0, 1, 1, 1, 1, 2
