countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
C-UpfieldOHeaSt, 2013-03-05 07:00:00, 15, bicycle riders, F, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0
C-UpfieldOHeaSt, 2013-03-05 07:15:00, 15, bicycle riders, F, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
C-UpfieldOHeaSt, 2013-03-05 07:30:00, 15, bicycle riders, F, 1, 2, 1, 1, 0, 1, 0, 2, 0, 1, 1, 3
C-UpfieldOHeaSt, 2013-03-05 07:45:00, 15, bicycle riders, F, 0, 9, 0, 0, 0, 0, 1, 1, 0, 0, 1, 7
C-UpfieldOHeaSt, 2013-03-05 08:00:00, 15, bicycle riders, F, 0, 3, 0, 1, 0, 0, 0, 0, 1, 0, 1, 7
C-UpfieldOHeaSt, 2013-03-05 08:15:00, 15, bicycle riders, F, 1, 4, 0, 2, 1, 1, 1, 1, 0, 0, 0, 3
C-UpfieldOHeaSt, 2013-03-05 08:30:00, 15, bicycle riders, F, 0, 4, 0, 0, 1, 0, 1, 1, 0, 0, 1, 2
C-UpfieldOHeaSt, 2013-03-05 08:45:00, 15, bicycle riders, F, 0, 1, 2, 0, 0, 0, 0, 1, 0, 0, 0, 5
C-UpfieldOHeaSt, 2013-03-05 07:00:00, 15, bicycle riders, M, 0, 7, 1, 1, 1, 0, 1, 1, 1, 2, 1, 0
C-UpfieldOHeaSt, 2013-03-05 07:15:00, 15, bicycle riders, M, 1, 8, 1, 1, 2, 1, 0, 4, 0, 1, 0, 2
C-UpfieldOHeaSt, 2013-03-05 07:30:00, 15, bicycle riders, M, 0, 14, 0, 0, 2, 0, 1, 2, 0, 1, 1, 3
C-UpfieldOHeaSt, 2013-03-05 07:45:00, 15, bicycle riders, M, 0, 9, 0, 0, 1, 0, 0, 4, 0, 1, 1, 5
C-UpfieldOHeaSt, 2013-03-05 08:00:00, 15, bicycle riders, M, 1, 11, 1, 3, 0, 0, 0, 1, 1, 1, 0, 11
C-UpfieldOHeaSt, 2013-03-05 08:15:00, 15, bicycle riders, M, 0, 5, 0, 1, 2, 1, 0, 4, 0, 0, 1, 4
C-UpfieldOHeaSt, 2013-03-05 08:30:00, 15, bicycle riders, M, 0, 11, 0, 0, 0, 0, 1, 2, 0, 0, 0, 4
C-UpfieldOHeaSt, 2013-03-05 08:45:00, 15, bicycle riders, M, 0, 5, 1, 0, 0, 0, 0, 1, 0, 0, 0, 6
