CN-SussexStBoundaryRd-2010-03-02

countsite, site_description, suburb, dist_from_cbd, easting, northing, melway_ref, primary_road, secondary_road
CN-SussexStBoundaryRd,Sussex St and Boundary Road,Coburg North,12.0,319470.42,5823494.07,17 E6,Sussex St,Boundary Rd

countsite, count_date, bin_duration, counting, gender_split, counter
CN-SussexStBoundaryRd,2010-03-02,15,bicycle riders,Y,


countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
CN-SussexStBoundaryRd,2010-03-02 07:00:00,15,bicycle riders,F,0,0,0,0,0,0,0,0,0,0,0,0
CN-SussexStBoundaryRd,2010-03-02 07:15:00,15,bicycle riders,F,0,0,0,0,0,0,1,0,0,0,0,0
CN-SussexStBoundaryRd,2010-03-02 07:30:00,15,bicycle riders,F,0,0,0,0,0,0,0,0,0,0,0,0
CN-SussexStBoundaryRd,2010-03-02 07:45:00,15,bicycle riders,F,0,0,0,0,0,0,0,0,0,0,0,0
CN-SussexStBoundaryRd,2010-03-02 08:00:00,15,bicycle riders,F,0,0,0,0,0,1,0,0,0,0,1,0
CN-SussexStBoundaryRd,2010-03-02 08:15:00,15,bicycle riders,F,0,0,0,0,0,0,0,0,0,0,1,0
CN-SussexStBoundaryRd,2010-03-02 08:30:00,15,bicycle riders,F,0,0,0,0,1,0,0,0,0,0,0,0
CN-SussexStBoundaryRd,2010-03-02 08:45:00,15,bicycle riders,F,0,0,0,0,0,0,0,0,0,0,0,0

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
CN-SussexStBoundaryRd,2010-03-02 07:00:00,15,bicycle riders,M,0,0,0,0,0,0,0,0,0,0,1,0
CN-SussexStBoundaryRd,2010-03-02 07:15:00,15,bicycle riders,M,0,0,0,0,1,0,0,0,0,0,0,0
CN-SussexStBoundaryRd,2010-03-02 07:30:00,15,bicycle riders,M,1,0,1,0,0,0,1,0,0,0,0,0
CN-SussexStBoundaryRd,2010-03-02 07:45:00,15,bicycle riders,M,0,0,0,0,1,0,1,0,0,0,1,0
CN-SussexStBoundaryRd,2010-03-02 08:00:00,15,bicycle riders,M,0,0,0,0,0,0,0,0,0,0,1,0
CN-SussexStBoundaryRd,2010-03-02 08:15:00,15,bicycle riders,M,0,0,0,0,0,0,0,0,0,0,0,0
CN-SussexStBoundaryRd,2010-03-02 08:30:00,15,bicycle riders,M,0,0,0,0,0,0,0,1,0,0,1,0
CN-SussexStBoundaryRd,2010-03-02 08:45:00,15,bicycle riders,M,0,0,0,0,0,0,0,0,0,0,0,0
