CN-SydneyRdBakersRd-2011-03-29

countsite, site_description, suburb, dist_from_cbd, easting, northing, melway_ref, primary_road, secondary_road
CN-SydneyRdBakersRd, Sydney Rd and Bakers Road, Coburg North, 10.1, 320546.87, 5822472.97, 17 G8, Sydney Rd, Bakers Rd

countsite, count_date, bin_duration, counting, gender_split, counter
CN-SydneyRdBakersRd, 2011-03-29, 15, bicycle riders, Y, 


countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
CN-SydneyRdBakersRd, 2011-03-29 07:00:00, 15, bicycle riders, F, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
CN-SydneyRdBakersRd, 2011-03-29 07:15:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
CN-SydneyRdBakersRd, 2011-03-29 07:30:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
CN-SydneyRdBakersRd, 2011-03-29 07:45:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
CN-SydneyRdBakersRd, 2011-03-29 08:00:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
CN-SydneyRdBakersRd, 2011-03-29 08:15:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
CN-SydneyRdBakersRd, 2011-03-29 08:30:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
CN-SydneyRdBakersRd, 2011-03-29 08:45:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
CN-SydneyRdBakersRd, 2011-03-29 07:00:00, 15, bicycle riders, M, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0
CN-SydneyRdBakersRd, 2011-03-29 07:15:00, 15, bicycle riders, M, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
CN-SydneyRdBakersRd, 2011-03-29 07:30:00, 15, bicycle riders, M, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
CN-SydneyRdBakersRd, 2011-03-29 07:45:00, 15, bicycle riders, M, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
CN-SydneyRdBakersRd, 2011-03-29 08:00:00, 15, bicycle riders, M, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0
CN-SydneyRdBakersRd, 2011-03-29 08:15:00, 15, bicycle riders, M, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
CN-SydneyRdBakersRd, 2011-03-29 08:30:00, 15, bicycle riders, M, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
CN-SydneyRdBakersRd, 2011-03-29 08:45:00, 15, bicycle riders, M, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
