F-WilliamStAndersonRd-2015-03-03

countsite, site_description, suburb, dist_from_cbd, easting, northing, melway_ref, primary_road, secondary_road
F-WilliamStAndersonRd, Hogan St William St and Anderson Rd, Fawkner, 14.7, 320946.39, 5825990.26, 7 J12, William St, Anderson Rd

countsite, count_date, bin_duration, counting, gender_split, counter
F-WilliamStAndersonRd, 2015-03-03, 15, bicycle riders, Y, Simon Stainsby


countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
F-WilliamStAndersonRd, 2015-03-03 07:00:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
F-WilliamStAndersonRd, 2015-03-03 07:15:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
F-WilliamStAndersonRd, 2015-03-03 07:30:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
F-WilliamStAndersonRd, 2015-03-03 07:45:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
F-WilliamStAndersonRd, 2015-03-03 08:00:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
F-WilliamStAndersonRd, 2015-03-03 08:15:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
F-WilliamStAndersonRd, 2015-03-03 08:30:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
F-WilliamStAndersonRd, 2015-03-03 08:45:00, 15, bicycle riders, F, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
F-WilliamStAndersonRd, 2015-03-03 07:00:00, 15, bicycle riders, M, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
F-WilliamStAndersonRd, 2015-03-03 07:15:00, 15, bicycle riders, M, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
F-WilliamStAndersonRd, 2015-03-03 07:30:00, 15, bicycle riders, M, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
F-WilliamStAndersonRd, 2015-03-03 07:45:00, 15, bicycle riders, M, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
F-WilliamStAndersonRd, 2015-03-03 08:00:00, 15, bicycle riders, M, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
F-WilliamStAndersonRd, 2015-03-03 08:15:00, 15, bicycle riders, M, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
F-WilliamStAndersonRd, 2015-03-03 08:30:00, 15, bicycle riders, M, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
F-WilliamStAndersonRd, 2015-03-03 08:45:00, 15, bicycle riders, M, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
