G-WidfordStWestRingRdTrail-2017-03-07

countsite, site_description, suburb, dist_from_cbd, easting, northing, melway_ref, primary_road, secondary_road
G-WidfordStWestRingRdTrail, Widford St & Western Ring Road Trail, Glenroy, 19.1, 317074.01, 5826027.4, 6 J11, Widford St, Western Ring Road Trail

countsite, count_date, bin_duration, counting, gender_split, counter
G-WidfordStWestRingRdTrail, 2017-03-07, 15, bicycle riders, Y, Nic Dolby


countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
G-WidfordStWestRingRdTrail, 2017-03-07 07:00:00, 15, bicycle riders, F, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
G-WidfordStWestRingRdTrail, 2017-03-07 07:15:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
G-WidfordStWestRingRdTrail, 2017-03-07 07:30:00, 15, bicycle riders, F, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
G-WidfordStWestRingRdTrail, 2017-03-07 07:45:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
G-WidfordStWestRingRdTrail, 2017-03-07 08:00:00, 15, bicycle riders, F, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0
G-WidfordStWestRingRdTrail, 2017-03-07 08:15:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
G-WidfordStWestRingRdTrail, 2017-03-07 08:30:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
G-WidfordStWestRingRdTrail, 2017-03-07 08:45:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
G-WidfordStWestRingRdTrail, 2017-03-07 07:00:00, 15, bicycle riders, M, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0
G-WidfordStWestRingRdTrail, 2017-03-07 07:15:00, 15, bicycle riders, M, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
G-WidfordStWestRingRdTrail, 2017-03-07 07:30:00, 15, bicycle riders, M, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0
G-WidfordStWestRingRdTrail, 2017-03-07 07:45:00, 15, bicycle riders, M, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0
G-WidfordStWestRingRdTrail, 2017-03-07 08:00:00, 15, bicycle riders, M, 0, 0, 0, 0, 1, 0, 1, 2, 0, 0, 0, 0
G-WidfordStWestRingRdTrail, 2017-03-07 08:15:00, 15, bicycle riders, M, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0
G-WidfordStWestRingRdTrail, 2017-03-07 08:30:00, 15, bicycle riders, M, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0
G-WidfordStWestRingRdTrail, 2017-03-07 08:45:00, 15, bicycle riders, M, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
