Gow-WestRingRdTrailGowanbraeDr-2014-03-04

countsite, site_description, suburb, dist_from_cbd, easting, northing, melway_ref, primary_road, secondary_road
Gow-WestRingRdTrailGowanbraeDr,Western Ring Rd Trail and Gowanbrae Drive,Gowanbrae,20.0,314163.46,5824324.8,16 A3,Western Ring Road Trail,Gowanbrae Drive

countsite, count_date, bin_duration, counting, gender_split, counter
Gow-WestRingRdTrailGowanbraeDr,2014-03-04,15,bicycle riders,Y,Paul Gavin


countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
Gow-WestRingRdTrailGowanbraeDr,2014-03-04 07:00:00,15,bicycle riders,F,0,0,0,0,0,0,0,0,0,0,0,0
Gow-WestRingRdTrailGowanbraeDr,2014-03-04 07:15:00,15,bicycle riders,F,0,0,0,0,0,0,0,0,0,0,0,0
Gow-WestRingRdTrailGowanbraeDr,2014-03-04 07:30:00,15,bicycle riders,F,0,0,0,0,0,0,0,0,0,0,0,0
Gow-WestRingRdTrailGowanbraeDr,2014-03-04 07:45:00,15,bicycle riders,F,0,0,0,0,0,0,0,0,0,0,0,0
Gow-WestRingRdTrailGowanbraeDr,2014-03-04 08:00:00,15,bicycle riders,F,0,0,0,0,0,0,0,0,1,0,0,0
Gow-WestRingRdTrailGowanbraeDr,2014-03-04 08:15:00,15,bicycle riders,F,0,0,0,0,0,0,0,0,0,0,0,0
Gow-WestRingRdTrailGowanbraeDr,2014-03-04 08:30:00,15,bicycle riders,F,0,0,0,0,0,0,0,0,0,0,0,0
Gow-WestRingRdTrailGowanbraeDr,2014-03-04 08:45:00,15,bicycle riders,F,0,0,0,0,0,0,0,0,0,0,0,1

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
Gow-WestRingRdTrailGowanbraeDr,2014-03-04 07:00:00,15,bicycle riders,M,0,0,0,0,0,0,0,0,0,2,0,0
Gow-WestRingRdTrailGowanbraeDr,2014-03-04 07:15:00,15,bicycle riders,M,0,0,1,0,0,0,0,0,0,0,0,0
Gow-WestRingRdTrailGowanbraeDr,2014-03-04 07:30:00,15,bicycle riders,M,0,0,0,0,0,0,0,0,0,1,0,0
Gow-WestRingRdTrailGowanbraeDr,2014-03-04 07:45:00,15,bicycle riders,M,0,0,0,0,1,0,0,0,0,0,0,0
Gow-WestRingRdTrailGowanbraeDr,2014-03-04 08:00:00,15,bicycle riders,M,0,0,2,0,2,0,0,0,0,0,1,1
Gow-WestRingRdTrailGowanbraeDr,2014-03-04 08:15:00,15,bicycle riders,M,0,0,0,0,0,0,0,0,0,0,0,0
Gow-WestRingRdTrailGowanbraeDr,2014-03-04 08:30:00,15,bicycle riders,M,0,0,0,0,0,0,0,0,0,0,0,0
Gow-WestRingRdTrailGowanbraeDr,2014-03-04 08:45:00,15,bicycle riders,M,0,0,4,0,0,0,0,0,0,0,0,0
