PV-CumberlandRdEssexSt-2015-03-03

countsite, site_description, suburb, dist_from_cbd, easting, northing, melway_ref, primary_road, secondary_road
PV-CumberlandRdEssexSt,Cumberland Rd and Essex,Pascoe Vale,12.3,318400.56,5822530.22,17 B8,Cumberland Rd,Essex St

countsite, count_date, bin_duration, counting, gender_split, counter
PV-CumberlandRdEssexSt,2015-03-03,15,bicycle riders,Y,Ben Blackwell


countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
PV-CumberlandRdEssexSt,2015-03-03 07:00:00,15,bicycle riders,F,0,0,2,0,0,0,0,1,0,0,0,0
PV-CumberlandRdEssexSt,2015-03-03 07:15:00,15,bicycle riders,F,0,0,0,0,0,0,0,1,0,0,0,0
PV-CumberlandRdEssexSt,2015-03-03 07:30:00,15,bicycle riders,F,0,0,0,0,0,0,0,0,0,0,0,0
PV-CumberlandRdEssexSt,2015-03-03 07:45:00,15,bicycle riders,F,0,1,0,0,0,0,0,0,0,0,0,0
PV-CumberlandRdEssexSt,2015-03-03 08:00:00,15,bicycle riders,F,0,0,0,0,0,0,0,0,0,0,0,0
PV-CumberlandRdEssexSt,2015-03-03 08:15:00,15,bicycle riders,F,0,0,0,0,0,0,0,0,0,0,0,0
PV-CumberlandRdEssexSt,2015-03-03 08:30:00,15,bicycle riders,F,0,0,0,0,0,0,0,0,0,0,0,0
PV-CumberlandRdEssexSt,2015-03-03 08:45:00,15,bicycle riders,F,0,0,0,0,0,0,0,0,0,0,0,0

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
PV-CumberlandRdEssexSt,2015-03-03 07:00:00,15,bicycle riders,M,0,2,1,0,1,0,0,2,0,0,0,0
PV-CumberlandRdEssexSt,2015-03-03 07:15:00,15,bicycle riders,M,0,0,0,0,0,0,0,1,0,0,0,0
PV-CumberlandRdEssexSt,2015-03-03 07:30:00,15,bicycle riders,M,0,1,0,1,0,0,0,0,0,0,0,0
PV-CumberlandRdEssexSt,2015-03-03 07:45:00,15,bicycle riders,M,0,0,0,0,0,0,0,0,0,0,0,0
PV-CumberlandRdEssexSt,2015-03-03 08:00:00,15,bicycle riders,M,0,1,0,0,0,0,0,0,0,0,1,0
PV-CumberlandRdEssexSt,2015-03-03 08:15:00,15,bicycle riders,M,1,1,0,0,0,0,0,0,0,0,0,0
PV-CumberlandRdEssexSt,2015-03-03 08:30:00,15,bicycle riders,M,0,2,0,1,0,0,0,0,0,0,0,0
PV-CumberlandRdEssexSt,2015-03-03 08:45:00,15,bicycle riders,M,0,1,0,1,0,0,0,0,0,0,0,0
