PV-LandellsRdKentRd-2014-03-04

countsite, site_description, suburb, dist_from_cbd, easting, northing, melway_ref, primary_road, secondary_road
PV-LandellsRdKentRd, Kent Rd and Landells Rd, Pascoe Vale, 12.9, 318797.82, 582300.48, 17 C6, Landells Rd, Kent Rd

countsite, count_date, bin_duration, counting, gender_split, counter
PV-LandellsRdKentRd, 2014-03-04, 15, bicycle riders, Y, 


countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
PV-LandellsRdKentRd, 2014-03-04 07:00:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
PV-LandellsRdKentRd, 2014-03-04 07:15:00, 15, bicycle riders, F, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
PV-LandellsRdKentRd, 2014-03-04 07:30:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
PV-LandellsRdKentRd, 2014-03-04 07:45:00, 15, bicycle riders, F, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
PV-LandellsRdKentRd, 2014-03-04 08:00:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
PV-LandellsRdKentRd, 2014-03-04 08:15:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
PV-LandellsRdKentRd, 2014-03-04 08:30:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
PV-LandellsRdKentRd, 2014-03-04 08:45:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
PV-LandellsRdKentRd, 2014-03-04 07:00:00, 15, bicycle riders, M, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
PV-LandellsRdKentRd, 2014-03-04 07:15:00, 15, bicycle riders, M, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
PV-LandellsRdKentRd, 2014-03-04 07:30:00, 15, bicycle riders, M, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
PV-LandellsRdKentRd, 2014-03-04 07:45:00, 15, bicycle riders, M, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
PV-LandellsRdKentRd, 2014-03-04 08:00:00, 15, bicycle riders, M, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
PV-LandellsRdKentRd, 2014-03-04 08:15:00, 15, bicycle riders, M, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
PV-LandellsRdKentRd, 2014-03-04 08:30:00, 15, bicycle riders, M, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
PV-LandellsRdKentRd, 2014-03-04 08:45:00, 15, bicycle riders, M, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
