PV-WestStBoundaryRd-2017-03-07

countsite, site_description, suburb, dist_from_cbd, easting, northing, melway_ref, primary_road, secondary_road
PV-WestStBoundaryRd, West St Lake St and Pascoe St Boundary Rd), Pascoe Vale, 13.4, 318137.87, 582363.37, 17 B5, West St, Boundary Rd

countsite, count_date, bin_duration, counting, gender_split, counter
PV-WestStBoundaryRd, 2017-03-07, 15, bicycle riders, Y, Anne Richardson


countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
PV-WestStBoundaryRd, 2017-03-07 07:00:00, 15, bicycle riders, F, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
PV-WestStBoundaryRd, 2017-03-07 07:15:00, 15, bicycle riders, F, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0
PV-WestStBoundaryRd, 2017-03-07 07:30:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0
PV-WestStBoundaryRd, 2017-03-07 07:45:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
PV-WestStBoundaryRd, 2017-03-07 08:00:00, 15, bicycle riders, F, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
PV-WestStBoundaryRd, 2017-03-07 08:15:00, 15, bicycle riders, F, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
PV-WestStBoundaryRd, 2017-03-07 08:30:00, 15, bicycle riders, F, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
PV-WestStBoundaryRd, 2017-03-07 08:45:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
PV-WestStBoundaryRd, 2017-03-07 07:00:00, 15, bicycle riders, M, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0
PV-WestStBoundaryRd, 2017-03-07 07:15:00, 15, bicycle riders, M, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
PV-WestStBoundaryRd, 2017-03-07 07:30:00, 15, bicycle riders, M, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
PV-WestStBoundaryRd, 2017-03-07 07:45:00, 15, bicycle riders, M, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
PV-WestStBoundaryRd, 2017-03-07 08:00:00, 15, bicycle riders, M, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
PV-WestStBoundaryRd, 2017-03-07 08:15:00, 15, bicycle riders, M, 0, 1, 0, 0, 3, 1, 0, 0, 3, 0, 0, 0
PV-WestStBoundaryRd, 2017-03-07 08:30:00, 15, bicycle riders, M, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0
PV-WestStBoundaryRd, 2017-03-07 08:45:00, 15, bicycle riders, M, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0
