PVS-KernanAvTateSt-2015-03-03

countsite, site_description, suburb, dist_from_cbd, easting, northing, melway_ref, primary_road, secondary_road
PVS-KernanAvTateSt, Hayes Pde / Kernan Avenue and Tate St, Pascoe Vale South, 13.4, 317453.26, 5821724.56, 16 J10, Craigieburn Express, Moonee Ponds Creek Trail

countsite, count_date, bin_duration, counting, gender_split, counter
PVS-KernanAvTateSt, 2015-03-03, 15, bicycle riders, Y, Greg Platt


countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
PVS-KernanAvTateSt, 2015-03-03 07:00:00, 15, bicycle riders, F, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
PVS-KernanAvTateSt, 2015-03-03 07:15:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
PVS-KernanAvTateSt, 2015-03-03 07:30:00, 15, bicycle riders, F, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
PVS-KernanAvTateSt, 2015-03-03 07:45:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
PVS-KernanAvTateSt, 2015-03-03 08:00:00, 15, bicycle riders, F, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
PVS-KernanAvTateSt, 2015-03-03 08:15:00, 15, bicycle riders, F, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0
PVS-KernanAvTateSt, 2015-03-03 08:30:00, 15, bicycle riders, F, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0
PVS-KernanAvTateSt, 2015-03-03 08:45:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
PVS-KernanAvTateSt, 2015-03-03 07:00:00, 15, bicycle riders, M, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
PVS-KernanAvTateSt, 2015-03-03 07:15:00, 15, bicycle riders, M, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0
PVS-KernanAvTateSt, 2015-03-03 07:30:00, 15, bicycle riders, M, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0
PVS-KernanAvTateSt, 2015-03-03 07:45:00, 15, bicycle riders, M, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0
PVS-KernanAvTateSt, 2015-03-03 08:00:00, 15, bicycle riders, M, 0, 1, 0, 4, 0, 0, 0, 0, 1, 0, 0, 0
PVS-KernanAvTateSt, 2015-03-03 08:15:00, 15, bicycle riders, M, 0, 1, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0
PVS-KernanAvTateSt, 2015-03-03 08:30:00, 15, bicycle riders, M, 0, 3, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0
PVS-KernanAvTateSt, 2015-03-03 08:45:00, 15, bicycle riders, M, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1
