PVS-MelvilleRdMorelandRd-2016-03-01

countsite, site_description, suburb, dist_from_cbd, easting, northing, melway_ref, primary_road, secondary_road
PVS-MelvilleRdMorelandRd, Melville Rd and Moreland Rd, Pascoe Vale South, 8.5, 319029.36, 5819572.59, 29 D3, Melville Rd, Moreland Rd

countsite, count_date, bin_duration, counting, gender_split, counter
PVS-MelvilleRdMorelandRd, 2016-03-01, 15, bicycle riders, Y, Simon Ransome


countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
PVS-MelvilleRdMorelandRd, 2016-03-01 07:00:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
PVS-MelvilleRdMorelandRd, 2016-03-01 07:15:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
PVS-MelvilleRdMorelandRd, 2016-03-01 07:30:00, 15, bicycle riders, F, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
PVS-MelvilleRdMorelandRd, 2016-03-01 07:45:00, 15, bicycle riders, F, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1
PVS-MelvilleRdMorelandRd, 2016-03-01 08:00:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
PVS-MelvilleRdMorelandRd, 2016-03-01 08:15:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
PVS-MelvilleRdMorelandRd, 2016-03-01 08:30:00, 15, bicycle riders, F, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
PVS-MelvilleRdMorelandRd, 2016-03-01 08:45:00, 15, bicycle riders, F, 0, 2, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
PVS-MelvilleRdMorelandRd, 2016-03-01 07:00:00, 15, bicycle riders, M, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
PVS-MelvilleRdMorelandRd, 2016-03-01 07:15:00, 15, bicycle riders, M, 1, 2, 0, 1, 1, 0, 0, 3, 0, 0, 4, 1
PVS-MelvilleRdMorelandRd, 2016-03-01 07:30:00, 15, bicycle riders, M, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0
PVS-MelvilleRdMorelandRd, 2016-03-01 07:45:00, 15, bicycle riders, M, 0, 3, 0, 1, 1, 0, 0, 0, 0, 0, 3, 1
PVS-MelvilleRdMorelandRd, 2016-03-01 08:00:00, 15, bicycle riders, M, 0, 2, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1
PVS-MelvilleRdMorelandRd, 2016-03-01 08:15:00, 15, bicycle riders, M, 0, 5, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0
PVS-MelvilleRdMorelandRd, 2016-03-01 08:30:00, 15, bicycle riders, M, 0, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
PVS-MelvilleRdMorelandRd, 2016-03-01 08:45:00, 15, bicycle riders, M, 0, 1, 0, 3, 1, 0, 0, 1, 0, 0, 0, 1
