PVS-ReynoldsPdeReynardSt-2012-03-06

countsite, site_description, suburb, dist_from_cbd, easting, northing, melway_ref, primary_road, secondary_road
PVS-ReynoldsPdeReynardSt, Reynolds Pde Coonans Rd and Renyard St, Pascoe Vale South, 9.9, 318373.23, 5820387.61, 29 B1, Reynolds Pde, Renyard St

countsite, count_date, bin_duration, counting, gender_split, counter
PVS-ReynoldsPdeReynardSt, 2012-03-06, 15, bicycle riders, Y, 


countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
PVS-ReynoldsPdeReynardSt, 2012-03-06 07:00:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
PVS-ReynoldsPdeReynardSt, 2012-03-06 07:15:00, 15, bicycle riders, F, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
PVS-ReynoldsPdeReynardSt, 2012-03-06 07:30:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
PVS-ReynoldsPdeReynardSt, 2012-03-06 07:45:00, 15, bicycle riders, F, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0
PVS-ReynoldsPdeReynardSt, 2012-03-06 08:00:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
PVS-ReynoldsPdeReynardSt, 2012-03-06 08:15:00, 15, bicycle riders, F, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
PVS-ReynoldsPdeReynardSt, 2012-03-06 08:30:00, 15, bicycle riders, F, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
PVS-ReynoldsPdeReynardSt, 2012-03-06 08:45:00, 15, bicycle riders, F, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
PVS-ReynoldsPdeReynardSt, 2012-03-06 07:00:00, 15, bicycle riders, M, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0
PVS-ReynoldsPdeReynardSt, 2012-03-06 07:15:00, 15, bicycle riders, M, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
PVS-ReynoldsPdeReynardSt, 2012-03-06 07:30:00, 15, bicycle riders, M, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
PVS-ReynoldsPdeReynardSt, 2012-03-06 07:45:00, 15, bicycle riders, M, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0
PVS-ReynoldsPdeReynardSt, 2012-03-06 08:00:00, 15, bicycle riders, M, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 1, 0
PVS-ReynoldsPdeReynardSt, 2012-03-06 08:15:00, 15, bicycle riders, M, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
PVS-ReynoldsPdeReynardSt, 2012-03-06 08:30:00, 15, bicycle riders, M, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
PVS-ReynoldsPdeReynardSt, 2012-03-06 08:45:00, 15, bicycle riders, M, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
