countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
SydneyRdWestRingRdTrail, 2017-03-07 07:00:00, 15, bicycle riders, F, 0, NA, 0, NA, 0, 0, NA, NA, NA, 0, 0, NA
SydneyRdWestRingRdTrail, 2017-03-07 07:15:00, 15, bicycle riders, F, 0, NA, 0, NA, 1, 0, NA, NA, NA, 0, 0, NA
SydneyRdWestRingRdTrail, 2017-03-07 07:30:00, 15, bicycle riders, F, 0, NA, 0, NA, 0, 1, NA, NA, NA, 0, 0, NA
SydneyRdWestRingRdTrail, 2017-03-07 07:45:00, 15, bicycle riders, F, 0, NA, 1, NA, 0, 0, NA, NA, NA, 0, 0, NA
SydneyRdWestRingRdTrail, 2017-03-07 08:00:00, 15, bicycle riders, F, 0, NA, 0, NA, 0, 0, NA, NA, NA, 1, 1, NA
SydneyRdWestRingRdTrail, 2017-03-07 08:15:00, 15, bicycle riders, F, 0, NA, 0, NA, 0, 0, NA, NA, NA, 0, 0, NA
SydneyRdWestRingRdTrail, 2017-03-07 08:30:00, 15, bicycle riders, F, 0, NA, 0, NA, 0, 0, NA, NA, NA, 0, 0, NA
SydneyRdWestRingRdTrail, 2017-03-07 08:45:00, 15, bicycle riders, F, 0, NA, 0, NA, 0, 0, NA, NA, NA, 0, 0, NA
SydneyRdWestRingRdTrail, 2017-03-07 07:00:00, 15, bicycle riders, M, 0, NA, 0, NA, 0, 0, NA, NA, NA, 1, 1, NA
SydneyRdWestRingRdTrail, 2017-03-07 07:15:00, 15, bicycle riders, M, 1, NA, 0, NA, 0, 2, NA, NA, NA, 0, 0, NA
SydneyRdWestRingRdTrail, 2017-03-07 07:30:00, 15, bicycle riders, M, 1, NA, 1, NA, 1, 1, NA, NA, NA, 0, 0, NA
SydneyRdWestRingRdTrail, 2017-03-07 07:45:00, 15, bicycle riders, M, 0, NA, 1, NA, 0, 0, NA, NA, NA, 0, 0, NA
SydneyRdWestRingRdTrail, 2017-03-07 08:00:00, 15, bicycle riders, M, 0, NA, 1, NA, 0, 1, NA, NA, NA, 0, 0, NA
SydneyRdWestRingRdTrail, 2017-03-07 08:15:00, 15, bicycle riders, M, 1, NA, 2, NA, 0, 1, NA, NA, NA, 0, 0, NA
SydneyRdWestRingRdTrail, 2017-03-07 08:30:00, 15, bicycle riders, M, 1, NA, 0, NA, 0, 0, NA, NA, NA, 0, 0, NA
SydneyRdWestRingRdTrail, 2017-03-07 08:45:00, 15, bicycle riders, M, 0, NA, 1, NA, 0, 0, NA, NA, NA, 1, 0, NA
